dt,ora,niko,talgo,vote,tiny,gobtc,silver,rio,stbl,alpha,monko,opul,gold,chip,malgo,coop,avoi,goeth,daffir,calgo
2025-03-15,21747.020265239917,34414128.70984099,488229.0412319999,154466.38511200002,690962.601262,0.32508690999999995,950.617892,339205.3164363998,1956.4660629999998,7421359.796640997,17124205470.749651,637126.964360768,15.159609999999997,10585143.399999999,94564.03546400002,335857.507485,6700863.131805995,6.704144440000001,86321.15873699999,21271.475205
2025-03-16,184784.7143205705,9390978.146562,2542082.024982002,390006.73465600004,13188956.540375995,0.83752859,10109.108528000004,2421300.031987899,8414.325823000003,16937778.42362901,82300684125.92625,943957.967659749,324.11595299999993,3005247.5999999996,155398.86025500004,439336.1491410002,4837236.837221003,3.925982110000001,184205.37567999994,5725.728505000002
2025-03-17,128319.55483438037,16880715.649534,988193.3360649999,379781.0097039999,2698876.331741001,0.46649832,20486.03393000001,659915.2975676995,11457.144548,3361446.5867500007,36391940164.58284,303557.13309959025,640.4609269999999,6912815.8,54454.840517000004,1119722.4795229996,9764475.208358,1.3847424099999999,418464.3247219999,4782.567881000001
2025-03-18,43548.44318402027,5416451.056456,815477.9266100001,490034.58151199983,1147147.3888990001,0.8214837399999999,16101.226033,77664.69444379999,6345.846874999999,7667088.468199,23085492746.885868,267578.1360709319,469.6463479999999,22350686.9,59013.80226499999,2332185.5157170002,5374615.527714996,3.4861033199999993,428806.21166599967,34549.731509000005
2025-03-19,29320.558857249995,7100627.569045,1543985.1781850003,430813.427655,1347296.4669159998,0.7027131099999999,12302.434129999998,74573.35228779998,7562.946407000003,4040576.316190001,29546200430.590107,582609.3739970267,127.00840200000003,4826793.8999999985,42534.21830799999,478349.9916389999,4336804.328927999,8.389003980000002,185386.054392,95119.54176200002
2025-03-20,38233.10973543992,11752573.20449,1045986.0147679999,430335.2195049999,2412460.0826999997,1.165193089999999,10213.529516999999,602395.3784651001,11975.856120000004,3151191.7312069996,16748374892.762955,451247.365059492,105.61227899999994,7727607.200000001,265125.665771,380880.04567500006,1715252.0035749997,12.334486279999997,3078202.7942840005,42683.916421
2025-03-21,19306.77991934012,19315738.349261,1724874.839018,254514.53879300004,832680.8114349999,0.35326438999999976,5712.144738,30763.191752,3333.5300080000006,5228874.879201,12673127999.973925,610734.4775813643,183.90748599999984,14257822.700000001,247423.22544799995,172224.35816399998,1256991.7304540002,5.06686053,284928.61908399995,5234.958631
2025-03-22,11076.711833510051,6481793.058368001,724089.017064,211203.30381999997,764240.7832889999,0.6401427200000002,13372.460579000002,20995.125567200004,2124.954473,3834157.397143,5175026730.387611,616628.6374336227,222.56844599999997,4710763.8,31963.622715000005,575073.7309900003,1383377.1200720002,2.6037957499999997,150336.79913899998,49609.45250099999
2025-03-23,184283.80271268688,12497814.235806,1178617.3445649997,178235.448494,1162312.5040730003,0.29127459000000006,3322.5671009999996,1862068.0063308992,4861.514428000002,1793145.8292709992,6531102981.75813,1531730.8994176476,42.33806,8442519.0,131393.09988199995,132542.074376,6290129.985587003,2.749556990000001,228287.40158699994,4618.864706000001
2025-03-24,16467.693232750105,3688260.5453499993,707462.2437510001,371090.87960800005,833050.8872899996,0.67248402,5338.530479000001,671039.2979764997,6128.441769,5415735.190538997,11173367708.607944,2169896.406246073,113.73530500000001,5464569.0,54418.469797,175547.63113600007,5805510.954483995,1.7360668000000001,244668.61298300003,43699.133892
2025-03-25,29334.09400201008,12548921.215214001,3724689.055138999,297007.0967469999,1205456.9967409999,0.5546752100000002,4874.236124000002,31534.027672700002,4970.531363,5703037.925521001,5605734248.061522,1342678.1311514364,91.98119200000002,6311392.600000001,255436.778731,437316.3544999999,2478735.946012,5.20099778,731132.1173869998,19002.469699
2025-03-26,58933.510886550095,4981219.534999,1270248.9754470005,423190.9412000001,1438377.196937,0.9259738700000004,4796.180533000002,60279.84361869999,7972.986087000001,4028725.0378880003,10247343695.840115,1979383.5988228605,61.96177800000001,4630721.700000002,91861.57527599999,174931.001544,4890203.485645002,5.59169309,357961.66006100003,51041.542727999986
2025-03-27,379048.71178381285,23802907.088194,3722858.362037,259041.31816300002,4584907.374293999,0.34735863000000006,10370.692395000002,90964.549329,4482.464461,7034772.258398999,4852538126.954963,191352.67919535338,133.634663,4550940.000000001,32188.961064000003,189745.20299299998,1605956.6016459996,1.7983169699999997,132050.59486399998,8493.056991999998
2025-03-28,21987.824867150477,10265156.651064001,1597681.6730169998,458677.647992,3718816.167709004,0.47821365000000005,22724.738357000002,935586.4226378002,5894.323533999999,8009304.535197997,4182638358.304017,434261.7075405122,194.81851100000003,6272594.300000001,49353.319867,461546.23726499995,1807476.2100609997,16.796283950000014,188719.863844,17044.165747000003
2025-03-29,19634.33628712011,8673955.724770002,2309083.912267,562014.4558169999,2199904.5199259995,1.6344497700000014,21153.082347000003,2023472.6807875002,8478.861787999998,6941737.346598001,4869244887.477016,1078028.7764890043,326.0063829999999,5603168.300000001,87163.69664799998,1186166.8674759998,976535.884308,8.908776900000001,332964.8778850002,124526.438768
2025-03-30,102504.99914240016,1698260.6382529999,874414.7415789999,272312.76934999996,1218210.211666,0.22587445999999997,22915.985883000005,924422.1430077001,3706.762009,6255984.779841,4801019197.609946,610028.5986785409,87.15424300000002,3971659.6,271811.777398,923651.703526,650834.404454,2.99192284,65847.30738099999,53141.947461
2025-03-31,230574.6601108109,149153614.65018952,22606287.09694399,996649.2234509995,2217368.6940340004,1.10569175,7571.042240999998,3367649.5927668,16045.797877,19568398.836153004,15390428878.42804,355731.5520098422,209.30430400000006,7337278.800000003,1999384.9811849992,606102.8911839998,2724994.954673,21.219069130000015,340871.60835999995,1347841.977362
