dt,gobtc,ora,vote,hog,folks,alpha,silver,talgo,wbtc,hay,tiny,goeth,coop,xalgo,nugget,pow,gonna,compx,gold,nova
2026-01-11,0.3198612099999999,14443.299809030017,486769.54787499993,1788.089895,21693.792749,895330.3844019998,4862.892561999998,803559.800052,0.05085189,273827.294188,2943231.8524519997,1.0863543799999997,64812.866348,1087590.3213,29668625.0,838427.2571190001,9516085371.609762,302408.674116,23.431052,10511856972.279293
2026-01-12,1.44541709,24716.566560540068,1615354.720511,2307.961826999999,30275.830780000008,1265541.496397,3674.511945999998,1623426.8806810006,0.8231095000000005,565076.2071850002,3302209.688174,3.5880207199999994,153268.12254899996,2595917.786083999,640874378.0,1491544.1254850004,21453834237.063805,367691.667768,30.658351999999997,26232032686.331318
2026-01-13,0.5533045600000001,16450.13710386997,950844.2038279996,3535.470884000001,44204.31895800004,679376.0435850002,23793.781687999995,566609.0386709998,0.06396598,126786.14821800002,2377644.4504369996,7.751784049999998,174149.18537199998,2941139.293507,269026701.0,1811437.4693949993,80454209713.42824,457255.184507,493.4139259999998,30658376293.54729
2026-01-14,0.5684048800000001,23747.66550838996,1044093.899352,4788.283484,49033.014954000006,2050877.366632,9912.746813000002,615893.466467,0.1714134999999999,233935.938472,2956731.938229001,1.8032740100000006,118088.180533,1706326.186372,104215411.0,790084.6509039999,512981129671.4904,395054.05268600007,120.11561899999997,21874638163.571556
2026-01-15,0.5392035399999999,80430.83068527024,781191.3952730005,4500.0875959999985,28880.506417,3061941.7025270024,8021.985270999999,704241.0905320001,0.07087702999999998,1910561.3482709988,5466118.760330002,1.63055657,975583.3327999997,2575409.7979920004,163293741.0,1343447.199,53838740986.09273,1130289.057282,32.990928,118581638274.80281
2026-01-16,0.22482273,16407.106635690045,713228.9120630004,2485.844549,40584.244977999995,1816366.8915269983,4950.722041999996,1321325.2678239997,0.038566170000000004,1046910.8155419993,1900722.2337949998,1.3979137499999996,508957.59224200016,3937625.750221001,7987394744.0,599872.8518159998,136989087118.02846,1066803.046753,18.906146000000003,28391843218.60307
2026-01-17,0.18431875000000003,21851.764366929936,820589.7702850003,6074.765151000003,23335.686521000003,4533478.405102001,4485.528835,1016658.839,0.03187708999999999,339818.71682299994,1584932.5651259995,0.8134206,147415.78897499997,3716654.4043529998,4012280384.0,2414592.2290180004,24384149782.46193,508673.18306700006,22.870305000000005,35741078647.23434
2026-01-18,1.4026135400000013,14562.795936620048,672993.8866709997,6089.107605000005,25161.932073000004,2773415.596883,11847.819458000016,408302.3071769999,0.046868560000000004,535699.9327959999,2100018.587565,11.776092439999996,1113619.5395850004,2714699.8720599995,2008178644.0,488480.49072299997,38809989376.208435,1053558.909518,45.439073,158192968567.3003
2026-01-19,5.225615610000001,66073.50240938993,1662417.3491789997,13584.769332000003,58565.33544999995,7514005.868596997,21688.699195,1499723.1261259993,1.69501226,230871.288016,5030373.354851998,3.0543677899999997,702852.006055,2479944.9375899993,1616832552.0,3978813.328691,151009766628.04556,1395305.869983,96.59058200000001,74010090062.86795
2026-01-20,4.260114630000005,36400.58779557019,977994.0352250001,4494.495520999999,52931.51967099995,9664662.017380986,19148.987029000004,879724.615739,0.09582933000000002,82454.062688,2091947.5578730002,9.813634709999999,356084.8343829999,1984188.2221040004,1424245864.0,389060.280729,45249496812.642654,554775.0918299999,95.53480899999998,50928848315.15328
2026-01-21,2.684532069999998,27042.75627680996,2131252.8218810013,7555.749804999998,44829.09236499999,887627.4650810001,14456.005420999998,5107760.634291999,0.17030541000000002,479539.44607099984,5981005.197743001,5.978250140000002,580569.5370870001,5027911.032957,454831260.0,904427.2236100002,149910243035.66934,411688.20976699993,162.45565499999998,54214409910.96023
2026-01-22,7.848159470000003,15707.928362169909,677797.8640599999,10235.159241999992,27255.819153000008,4022602.6198930005,19303.313201999998,235624.81427399995,0.04146135,128773.74264200004,3134623.946534,1.2165812200000004,627157.2836770001,10054684.247942,2557687723.0,2405067.5804279996,274350031955.57654,947942.646002,107.41688599999996,142315880892.21973
2026-01-23,0.33845221,17600.86134536997,785187.7148560002,16311.551667999986,41567.98861199999,4887865.168291001,8130.798500999998,850542.53803,0.10110564999999999,520435.707389,6593084.438985011,1.5754352699999998,206360.65631900012,4932863.5319920005,1160413173.0,2047570.7290199997,173735795796.51508,1377987.7679950001,180.0098130000001,35934734839.112686
2026-01-24,1.8348022099999997,92083.13324520006,553274.5440619999,5219.310517999997,20134.250548,2341936.822922999,32041.364329999993,241609.40699399996,0.13469298000000002,625370.050092,2123832.6019590003,2.839327899999999,387482.18141999986,675731.08731,718834057.0,929529.135542,21806247936.936085,656417.892035,462.6203310000001,41399835628.46064
2026-01-25,1.8174597300000004,225973.02010397834,1354511.1979629996,13403.770720999999,37984.12491100003,3113109.3711230014,24172.032515000014,1219152.1163009997,0.09891371,1833065.166287,3097880.938044001,7.28845002,2695202.377582001,7971208.576664001,752762316.0,1849952.2216149997,320616371147.50916,733140.1779289999,441.43123000000014,20143256335.34605
2026-01-26,3.34310291,47639.79834545983,1056040.084395,14351.774610000006,52424.20032000003,7359073.985685999,24459.12381299999,1408878.8623189994,0.18127975000000005,763242.199564,2621196.794885,3.48334825,306134.20524299995,3788240.980366001,6587851160.0,1178715.8093680001,364287945032.77936,897655.2851130001,197.76442799999995,59057315978.61542
2026-01-27,4.75490189,46760.380809960196,550219.1161780002,9822.114559999998,32688.129037000013,11348529.275453998,26315.966755000016,451447.67069399985,0.10694335,1222890.7611029998,2166510.517393,1.52467645,313051.295054,1561629.8177710006,1250275972.0,349685.690676,250002625905.23935,743786.245924,234.05780200000007,61630218882.34876
2026-01-28,2.6558337499999993,16513.988259640035,632120.4995330002,2618.2474810000003,24087.836895999986,3766261.130315001,11470.032784,415346.9610030001,0.06438741000000002,443332.16377400013,5690841.231784997,1.3739586900000003,130630.61518499996,3972180.285531001,2731906200.0,2955372.778433001,568145493727.5553,11544400.508567004,130.30803200000003,15530212336.861073
2026-01-29,1.09304379,62901.79376388034,1595849.8993260008,10286.073471000002,47672.57034600001,4849457.677509999,23858.496155999997,1434577.88582,0.16963821000000004,2126466.1127480017,4629206.669961001,1.8974262499999999,513254.64103800006,6784557.732244998,398851012.0,7823415.099902999,259346793212.98697,1778113.8339300002,365.7184750000001,101475033180.7294
2026-01-30,1.3072286999999996,286258.10288334073,2910603.206489001,43789.713047,83508.62383800001,102307792.44108297,57190.84760899995,1452006.8487190001,1.4321516600000002,15636948.321299003,26501219.011531003,3.4437326300000004,2159194.732622,18773332.115579996,42541053887.0,43133371.13226004,207183183135.3531,121334641.04750985,544.0059810000001,756408757523.155
2026-01-31,131.55420143,923110.8057368894,24823949.772822984,93850.78805999996,143863.17572199999,28151640.267258994,863068.2530390004,7638205.079831006,12.56493625,23194552.234585997,138255193.683635,208.7818342000001,28275930.575715996,16070724.532679003,1178348307.0,68469462.76922797,102192896395.99179,472754809.8934793,8205.429408999998,1216541755753.4268
