dt,ora,talgo,niko,vote,tiny,alpha,monko,gobtc,daffir,opul,xalgo,coop,chip,malgo,avoi,arbz,gora,pepe,fish,goeth
2025-05-19,57344.54674962018,2391475.27158,9885040.884729,752525.6040789998,1117183.893618,9569365.969328003,43107413083.33381,0.26780915,119607.916023,750048.7176924701,2866577.2640670002,771531.0878229998,13285259.7,45719.287626000005,505180.1069190001,25991374.118396007,580484.7654102958,246643300.66709998,1765899150.0563214,5.711837429999997
2025-05-20,43793.562569649934,8736594.220874984,28030798.22144202,373212.672622,975228.1766509999,4936955.327246001,57796759609.90558,0.18581168,101656.838448,389993.5625179651,4105650.9625370004,126706.10003500001,7567447.800000001,18254.699994,299395.306838,65931365.056431964,448840.086311344,43904225.01290001,11781527021.537407,2.7409122100000016
2025-05-21,37627.75924905005,4092079.058387001,51692529.249482,651839.8373040003,1133816.2749909998,11140788.164924996,49173023009.75866,0.6132567600000001,112225.28716399998,655183.0696622401,7563087.743354998,167506.363596,1796184.4999999998,45209.45061499999,1585069.1063170005,3424865.014203,14242185.4509811,557266130.6062998,3847787640.63409,6.542724230000001
2025-05-22,44841.19910289975,2817555.141162,91795052.29615003,592210.8197629999,2955233.7477039997,6199060.417747003,34288058126.784996,1.09649071,74918.57962699998,391383.8185273252,3382310.8678890006,268746.702695,1307695.2000000002,61487.19271700001,9108470.221348004,12110698.364875,1723805.685878504,255873094.48470017,2024825419.5303032,5.066470619999998
2025-05-23,33871.69297735997,8166160.228795998,30123945.024844,898680.4952959998,3397979.434376001,8542026.665471997,13588560993.59457,0.9008134000000001,249650.46319100005,1766153.5866367503,6694495.710291998,549547.5625379999,4077367.5999999996,57486.428811000005,1353657.251614,7742846.404267001,2032743.2820925005,406925882.0975001,1712049651.0022416,5.906477129999998
2025-05-24,44579.29073362006,3690463.3461869997,17527816.328544,2008904.5014789996,867071.1230800003,13127485.846967991,24492228338.34187,0.5809143799999997,101948.25253200003,401661.21165559784,6079062.312764999,180367.78426699995,1318331.2999999998,24545.018289000003,3436428.737578999,8783400.972182,678782.134985486,114402118.61730002,443355238888.57965,43.35112065999999
2025-05-25,43837.489063940055,1711371.1493030004,11620079.033865001,532948.607358,619809.343934,6241358.621266,40790224866.54093,0.9366067000000005,394143.159511,1701664.6803200773,4321229.980389999,164519.62039199995,2163101.2000000007,32250.646050999996,1113613.129251,6750872.480071999,1038507.3123896501,167334792.2149,351431267713.79205,3.727956400000001
2025-05-26,25998.646703959985,9479886.433126999,6750105.979246001,746517.426761,1709695.975516,9797923.600127002,31453989022.82438,0.4808168,197131.16029800003,1117315.6002211922,7376031.472284001,258858.1216020001,17712048.300000004,38685.616857999994,555585.889217,10312559.306111999,2199050.8477549586,146367402.52719995,24691564275.32253,3.223448650000001
2025-05-27,171336.39095621087,2226857.647883,26401799.043649,191529.2894120001,1400681.3592159995,7905444.160385002,30078732077.50241,0.37432907000000015,157719.665869,1156145.930496236,7207063.850381,2236091.6972829998,6417541.300000001,116174.334872,372182.066128,11534280.460653,736021.4211529789,16217738.685299996,45018286035.73349,3.14913972
2025-05-28,95911.71583026001,4061898.2954299995,9903165.36093,197650.36602299995,807822.1164580001,9374492.549394,44513216129.21266,0.7020445099999996,192809.45069399997,387697.7197360473,10236870.61526,99148.65870899998,1889246.9,19940.629403,247404.04918799998,5645655.820669999,369121.04235493706,43347803.1406,86041678713.52776,2.23024691
2025-05-29,119597.72093764044,3494895.957126,90574916.80366503,449361.1883929999,3598147.629296,8061864.3555769995,48178344216.18182,0.9475097799999999,134222.43152399996,599632.7932335901,3207941.1880079987,490849.447361,1275446.2000000002,40295.04518899999,5399089.009456002,108450026.16064899,990792.9036370614,416952932.8131999,193876744256.1049,6.4729945800000035
2025-05-30,41151.87889702002,4721942.865752001,165624307.615339,1019921.2356950003,5003809.897997999,13668527.999149002,29455195107.942043,1.609224219999998,304866.67110100004,1070000.456860783,5880794.8976799995,352580.363251,11292130.1,186613.21621899988,8923213.917504996,19137429.94266,324314.0803998879,340806430.9483,13382850622.044489,3.985956400000001
2025-05-31,40817.00131278011,4697770.0786500005,27830566.857417,539878.6370960001,4913484.963924,12971732.248996997,18194635691.35292,1.2923494899999999,154272.63192499994,564327.6600728184,3751597.573894,1089999.831464,3720942.8,36031.871497,1832568.178001,5723355.397518,251370.43711994996,267918081.2184,13928215228.322319,2.959556769999999
