date,hog,ora,vote,hay,talgo,finite,xalgo,tiny,alpha,puff,vest,gonna,gobtc,busk,unit,pow,niko,sparky,coop,opul,algo_vol,price,usd_vol
2025-09-11,202089.59288243233,50475.74648737198,35929.315945747716,1302189.340764313,464876.5853613899,35346.72662088096,2544011.118683468,150776.01519278807,196149.14671656422,15286.717732836094,192130.66731414082,55260.396469134,138545.7284439998,4834.924164547557,5295.229499536681,16026.24728368587,4176.486589935989,2745.334524001841,9439.518978691971,28493.283058690235,5454078.122714156,0.2396387969626069,1307008.719867294
2025-09-12,174328.53239651394,93199.5865628434,61529.951353881326,677081.0383383106,3040387.3127957545,60477.568772683524,8966908.127363384,105064.9018678477,306589.2781826571,25178.85231592267,72905.3090779556,26344.522440860943,152073.0864466,2922.0651523526576,21118.060652483808,29066.134190442946,6464.37748206585,17325.033035539534,11547.074170469177,375613.46717937227,14226124.279777939,0.2443576010173327,3476261.600780967
2025-09-13,1538676.8689359068,228340.16306119168,70717.7710388794,280839.1430877581,865025.1855077812,92453.19684771124,3978210.752665826,175992.98535903034,144350.48879440117,16701.792738978296,150479.49382785519,63243.05676513166,576950.4263789993,14564.472519921048,112635.34384273058,163751.07771300338,4719.481270747725,173789.99371050336,15525.45824511627,251824.11969195926,8918791.272003429,0.2483590685425403,2215062.69284011
2025-09-14,460527.5220527867,132619.80473307587,95469.6494260829,976045.6139845831,587993.4632210577,267043.6038272037,5977004.554155328,105579.94033305116,161445.53481203006,3412.76692294784,152426.78341517574,51398.97328533004,320239.41862569994,3436.1900304018313,74726.01915973106,202852.80774388646,2188.9505249963463,37997.800312062485,32284.918794298785,511280.237691725,10155974.553051455,0.253103190834647,2570509.565412801
2025-09-15,760133.7877538791,56841.600463753355,112889.57255832416,2392729.9373597163,1247647.0720407246,116529.37310693588,4892218.9408682855,95042.69453269703,175780.2523023705,4073.1748499639825,157588.41946213978,14300.391729792891,309446.51267180004,6985.640802625217,5648.80794051533,139838.94150566074,1877.8880569620549,35180.36600161481,43785.9795637098,162490.6718686995,10731030.02544017,0.2393043561316054,2567982.230866885
2025-09-16,927939.5829950137,64932.49602575127,124210.45852564902,563298.5227613592,2841308.1095507685,163071.8922451049,12587099.353298312,170703.06099670506,85979.54385834758,147085.55543028566,150148.99764550128,38133.35681663806,221192.90667999996,7930.644553855741,89156.59352463676,45735.04588109572,26258.111499734074,58273.12286472171,22136.42135165767,108990.42174234806,18443584.19824749,0.2327515226319581,4292772.304932825
2025-09-17,1460551.5447660729,185372.01768012586,111456.34630185283,1435807.7553784414,2373291.6737772343,79651.67373387274,4463085.822085284,173451.07077563388,171870.45930955355,36228.7843723569,251081.10488848362,32053.907984579902,340054.24712,37095.538712610454,49988.35293993781,33028.174707730795,11232.918993652554,89014.23182796342,21660.874566961327,151220.59344878668,11507197.093371134,0.2371620968405199,2729070.991421034
2025-09-18,532818.8539851513,22452.34887488743,67590.09426060246,221701.160638595,1898736.3735730744,17965.597424625586,2283159.246082352,290494.4867941044,166162.9475688238,15021.833595725531,53847.89097129746,112521.37023186045,302713.39870039996,1601937.6784387452,28320.989622812907,32985.95303906095,22231.117286571538,142495.30747995546,43768.529519988755,235531.07765505783,8092456.255743691,0.2439833431729881,1974424.5317575072
2025-09-19,2150476.134314294,42057.166372641,86965.38679041054,247726.93233438168,1020638.7795991697,592439.533654194,7717256.553120574,208278.55467076247,494117.9206696304,16578.9138865824,105436.13962581099,38972.103273338376,399718.94877619995,3200437.9575611497,1134121.7293832123,86709.73522684972,7727.618291169468,22612.926029730777,20350.631499908155,83111.90884462178,17675735.573924627,0.2465931093551107,4358714.595312816
2025-09-20,1213419.2729798132,40393.74505541487,40219.65667530539,427467.64902772394,607731.2497359283,104977.9861660122,4140382.446850345,87691.59487151133,108039.92301960774,65497.82224719178,123825.4924356063,55581.9190529497,268738.184658,2445462.8975236146,77009.58490831233,20213.461702022578,23822.320031002095,60130.037185589805,5367.5765339689915,180950.74663472426,10096923.567294644,0.2338582838426825,2361249.2175382613
2025-09-21,1940358.926222761,191348.91435042667,84771.88758635707,429070.02393412613,2438348.1192994067,75627.79155583453,2530103.4621330993,162611.00365766764,151853.44544450348,11235.232675208506,269956.78027526947,81198.5851711631,69423.24486019995,77376.10181487702,107276.09899646632,210984.2974758191,27632.012317401848,49653.624474237986,11682.709316773991,52894.41894939654,8973406.680510996,0.2352794901845805,2111258.549009536
2025-09-22,1237648.433416445,588751.7465469299,311496.65458410437,910069.1234864678,4181723.7853267845,99009.13418708835,10319372.62801338,436502.08057096275,403225.69702982093,12535.406324858217,69158.97243519581,29589.440769329834,606521.24032,2135171.8023612923,153136.78503070766,603053.0170334184,7916.488382018763,38395.637358456035,60357.13326097293,290011.4450896317,22493646.651527863,0.2311740067239822,5199946.422267182
2025-09-23,1287863.8941915461,1202095.0787125686,72542.7888537313,385558.1545063582,3620843.285702237,34615.197055804936,2970093.4310930506,205807.97831203323,120289.04133032548,41440.20078959836,93750.00441628254,13685.070020381327,143413.3743798,24065.66549057027,246708.26649856134,97943.95509822838,11740.38226665841,49541.451198603936,128024.078419741,105969.93385832112,10855991.232194405,0.2136930188815683,2319849.5393594587
2025-09-24,287353.8212868401,70288.72506636959,188560.64464911202,307306.62614550086,2749006.4519624785,30817.847396925914,4682997.840228976,106759.18187977208,243634.4308284378,25721.77969203238,31957.62727457596,3108.014317105051,136844.43344700008,12631.383719978474,14774.541274262881,11091.715426108485,3747.6178526067806,52540.97929454634,16293.667075453357,68549.82234606153,9043987.151164142,0.2109175554973572,1907535.6618730484
2025-09-25,240334.69962065195,71278.88744429343,133760.32588298648,825091.1141075512,1638997.6430056717,34483.576723956015,3173898.9736576774,746115.2029127387,295735.2928679831,34484.04551370146,59099.95855254347,4846.660163261685,359737.4851096,7279.369809387173,9342.088377889517,26815.89757066621,1982.4183231730067,31734.251322531258,26709.51622419169,114307.68578927254,7836035.092979728,0.212899109863047,1668284.896150983
2025-09-26,268943.7642295321,120194.14147113041,74718.19610461331,287298.8374669792,1422219.9568322443,28202.145772114654,6533626.439495728,102712.94196368054,688622.5976673939,2673.7041794170473,42135.64087053346,22086.302215433632,479614.1191819999,12650.174583705779,3924.4924439692213,147791.35497037077,5880.698066720968,20764.39483407067,25368.402728483037,193311.078145633,10482739.383223755,0.2024028684781646,2121736.520673514
2025-09-27,161031.08822054407,58001.27886856354,50123.31230441438,473313.1606139208,1819767.2531350926,28273.818480011916,4064912.5363760083,50729.48200495347,127226.5121228917,31535.653411120944,61340.01156720022,21907.995772644896,76496.3988906,10478.227361968911,149724.9687051469,453046.34079623694,18213.61364126633,16228.323769632842,25911.679438391107,55831.78767983309,7754093.443160443,0.2084296601272901,1616183.0609531798
2025-09-28,216386.90832990003,56681.4323173877,64256.62776443622,164926.76486015512,764990.8854801002,29484.256239834238,4551205.303698226,240439.81157879025,110346.06443734134,6275.741513128992,13027.044227083952,55872.37446320759,667803.5501450002,5737.172988758718,52145.24244630791,166223.78637394132,40494.08966942262,17981.029734294283,17114.30835022531,56016.04080722133,7297408.435424762,0.2060648200312616,1503739.1559404137
2025-09-29,307337.002264545,41851.72535593952,66140.6922006172,207489.03964391848,701608.9460435832,16181.861071314584,2424510.4952327353,261406.60832365652,273529.5447154735,18957.4565088218,14963.020633190405,43381.57832026384,254199.5120429001,16715.467956889464,11166.45134899608,78837.34057371519,32410.2977153835,20167.018914220753,20503.8393814288,84046.37184224179,4895404.270089835,0.2085295640180771,1020836.5181340663
2025-09-30,2102637.799399198,805094.6602736218,73826.8404588819,363612.5738988768,1436863.583018156,30806.98016005296,7228638.700997771,369442.92675482377,158759.27906655887,33175.664041328215,2057643.3193266,20868.829694344753,263508.7722441001,12702.40375453466,35578.468037560335,57759.03199630263,21676.354726778056,25660.882974716285,59495.579239435734,204914.09218989377,15362666.742253534,0.2078723613295615,3193473.812031364
