dt,folks,hog,ora,xalgo,vote,alpha,gobtc,talgo,tiny,hay,pow,iga,opul,silver,nova,coop,compx,mit,wbtc,busk
2025-12-11,13691.997721000007,115458.98163599992,39456.05959952008,2556354.405957001,1853350.8391979998,4085553.6994380006,22.26561846000001,1092659.824118,16382977.635347994,845064.9248079999,39338731.215017006,22.474337000000002,2055743.866444013,7915.854233,210119083505.96783,240393.13770800005,15756446.554958995,22145.403000000006,0.1995170199999999,572008079.4919361
2025-12-12,14005.30947400001,21577.232220000016,112606.58240071042,9926600.89706499,1895577.6670710002,9006840.528350005,2.372256949999997,3871919.2940610033,6192682.519760001,2482848.4642439997,3077697.9468290005,68.806345,3812682.143084103,12221.062681999998,146817731254.3097,564490.128368,2862559.6055920003,22315.025,0.09372194000000003,1543629678.3072352
2025-12-13,81212.39219599981,38135.952148,200216.32336346793,17259269.28149901,5731065.106844002,14271758.179295005,1.7356907400000006,4485296.594059,8736057.281051,5725106.619407999,17966882.660734005,186.85362599999996,4006508.830169153,3574.883526000001,773825821205.7822,1933579.7560669996,30123805.30084098,22063.731999999996,0.3109822300000001,818393170.001554
2025-12-14,87764.19864099995,68703.66104499987,634077.8946877375,31676954.187911995,4442776.223816998,5597534.634910004,1.11471118,6960767.9009869965,7750812.091554998,4006972.6204579985,6932168.381840999,191.0626910000001,1110447.448317142,3128.5573819999995,828451140038.6243,2259744.5877039973,4865292.718936002,96067.2040000001,0.3137143799999999,988204432.0128138
2025-12-15,26403.386460000012,27162.378672999992,88787.75169687023,16914692.62747301,2787792.595465,4877615.843341001,0.9945946999999993,2199706.653479,22678871.53524299,1534401.5033900007,7881146.818561004,76.18727199999996,2158807.505228183,124054.74876700001,224302760172.20905,454234.4094630001,29872177.699317995,17726.105000000003,0.23401097000000035,486487467.101181
2025-12-16,74975.67380700013,19501.910582000004,192918.26108012747,8333644.321946999,2837492.098842,2574717.853404,0.88782103,1562161.4711659995,6525397.746980005,4714979.866892999,7769524.640419997,86.54872300000001,1986359.8217358473,104260.827336,383137811837.0118,294785.6067240001,20777568.66605901,14548.135,0.26403542999999985,382223691.701707
2025-12-17,79890.49017500006,21929.270444999987,77261.88729611016,11412905.629369007,2882045.325082,1201040.749029,0.4941939400000002,2321180.0236199996,5216567.971079998,1191484.3031949997,4148502.956875999,62.30927800000001,2349263.538276045,9132.762867000003,250116311721.47507,368274.9637759999,1631504.2433049998,12315.024,0.1712050299999999,306698414.85954
2025-12-18,115149.81531900002,22965.339135999988,154002.06846543247,24681282.001859985,3846037.6973949997,5214682.3100569965,1.6085162800000001,3929835.339108999,8762760.270228004,1057634.1769050008,6088797.317006999,144.6634190000001,657938.2678262545,23833.731409,231693178705.3842,353075.71348999994,4545943.717823998,16314.864999999996,0.13037881000000004,653334789.0717381
2025-12-19,81695.81781100002,9001.575197999999,78259.52008663028,17944486.020076,1709299.8726630001,1477778.905653,0.7136062299999998,821293.7016219998,3769839.5094410037,802358.0812300002,3336259.006796001,25.54184999999999,738215.5044704647,15948.535979999993,101191803085.01971,308375.34622599976,1492992.6534170003,9372.035,0.08579164999999997,391613645.081137
2025-12-20,139895.71659800006,15715.388367000003,111583.5717743501,4216329.914445,2450655.691978,1181495.4084140004,0.7196399299999998,1536840.3531720003,5600350.942149,1287722.6459709997,1936698.2709990009,63.942774999999976,305478.887860853,4726.289698999999,172851631481.8961,207430.383865,3055910.596388001,11553.965999999999,0.19614016000000004,5585317689.358491
2025-12-21,109094.797417,13780.605464999997,55021.4225481401,3455779.1929470003,2350537.5984600033,2026753.1172990007,0.6913623399999997,517693.8227960001,3643139.8088609995,609825.4826220002,3737226.057102001,61.14320299999999,193120.6989685445,2906.8691400000007,160280538052.2028,326297.5377059999,1083768.436025,12636.490999999998,0.06957200000000001,26531884376.32619
2025-12-22,36600.597733999995,6586.410896000002,68205.47325835013,2044029.4885609993,1049148.733568,3249065.767661005,0.2198204,3097819.5970859993,2472912.522482,223406.93586799997,953703.1773169998,22.548069999999996,1315930.3286506813,35630.942751,66086237652.16004,162403.027535,574321.165794,10310.358,0.050995059999999995,114616631569.87665
2025-12-23,66247.48960199991,8514.528005999999,24149.488195519843,2194242.550435,1636695.493923,1101305.2010319997,0.5143498699999991,693748.6742759998,2039549.1612840001,336199.23214800004,2560237.073554999,18.848661000000003,351527.54207687074,13653.928493000005,85406635745.8561,273226.8762290001,963138.5994879997,11125.940999999999,0.08034150999999998,627549765.736026
2025-12-24,29334.616042000005,5387.175178999999,12374.458828209954,1318400.8518739997,1145592.538848,2598751.2664889996,0.44674296999999963,2935642.622692999,1886758.9792710003,256562.600578,937756.9120599999,13.596509000000001,1212984.2558805312,7415.644763000001,240402428751.3024,202702.985484,3762678.3874550015,15084.993999999999,0.36338759999999976,166589309634.97607
2025-12-25,35967.40133600002,13756.213613,59369.770903960074,9044196.022304004,1909787.5650479998,14284659.310485994,0.6772098799999997,3832544.7750580003,5361964.061747,1542842.7455699993,922702.9010459998,37.95167599999998,1154617.7573997134,8082.528215000003,125225438734.98636,487023.53044400003,8017089.277705997,14251.724,0.13655237000000003,1586528567.5574098
2025-12-26,55195.843523,9607.510570999995,20228.958180840043,3031524.3724359996,1075005.638475,1071007.5984129997,0.4063533900000005,2878212.688879999,6011108.076807998,3690050.4933670005,1298685.6453070005,13.295858,3478220.163528578,25561.39173600001,79608713903.14175,781775.6652880001,3119415.8730099997,17844.536000000004,0.03728028,255689468.60598403
2025-12-27,15183.393342,10766.524660999994,21030.49070249025,6511843.846365,924782.3499769998,6469027.520305003,0.39446335999999993,311784.912628,1912056.8864230006,333222.922778,822711.4551010001,10.122790000000002,1051787.476905109,56017.33475199994,52861771659.47728,838940.0690510002,943648.7877920003,32056.149999999998,0.11219910999999995,219942959.45363402
2025-12-28,19974.083252000008,5059.030700999999,19067.135485310006,1564348.982196,897955.5919950001,2128065.041344,0.4374615899999988,689384.0055330001,7434116.630857002,645890.2908860001,2491242.2022480015,15.576492999999997,328671.6541523147,4146.342632000001,31176169037.10271,312912.21260999993,414589.76216800004,9510.284,0.08806546999999999,221406021.83096597
2025-12-29,33615.34051299999,5279.109907000004,25151.84678124011,3041756.523625,1367766.9531850005,1964966.553811,0.3790837500000001,844974.6708120005,5116412.501580001,1936209.5030420006,898220.8412139998,25.901051999999996,1786275.8631300812,12838.940904999996,45836012475.9654,346260.60122,9204735.200353002,12049.073999999997,0.049792209999999996,227756946.05548203
2025-12-30,25517.944394999988,12401.838406000037,17550.917506299942,1691343.1234220008,1425912.9320479995,993753.0785340003,0.4082529599999999,635128.4029580001,6144096.851864003,612166.406157,854475.8204339999,13.710045000000001,1819433.4973102056,17503.178141000004,36457439315.96036,286792.94435600005,6831432.7233299995,17072.065000000002,0.04964089000000001,386421949.791096
2025-12-31,43136.41228600002,4266.667594,59102.075154090155,4198007.952759997,989409.2600240003,2381960.6342339995,2.22257714,1552455.042888001,6420420.088059002,980692.4750740001,6070445.852309,34.741366000000006,2205523.9695392163,10401.932227000001,105656558567.47903,4603907.481125,2750230.4648220004,11908.253999999997,0.24216508000000014,302260217.753786
