date,ora,talgo,vote,niko,tiny,gora,gobtc,alpha,daffir,chip,compx,monko,coop,deathos,opul,shame,xalgo,yldy,gold,juan,algo_vol,price,usd_vol
2025-06-15,12920.938265405655,2585029.613708234,90588.04314488592,5784.723031815848,139695.9300872605,75075.34123717896,930710.2827937995,273915.86497223115,3507.5087994059263,76729.56276040006,203645.38325470604,85569.91754300092,73711.5838521995,,18860.92434318059,,7986117.373455393,23.18641641141225,13012.105565400003,339881.5204761717,12914779.803707082,0.1773497969251392,2290433.57552034
2025-06-16,16362.872290574596,3027748.297355387,115176.22611536365,5026.889759852491,294362.95577370713,33800.253327371516,309753.79988050007,423271.08901834517,16626.922835438883,54573.56291133997,185945.59342991497,85037.01261383848,72081.76369662154,26.634551624109374,129934.07875005685,1.900585001231839,3228450.8257118654,35.426839440617826,269025.7120718,433091.55309123395,8700333.370609278,0.176395771703228,1534702.0189839704
2025-06-17,48508.97352772408,3960640.862892616,179844.52266615882,12586.783770249202,326083.97578572633,41327.57105623027,2135171.160768596,367904.7493519706,21103.693156195826,19051.84860618,162181.7329313927,114262.23672139368,31922.692228561555,4.890706636784709,221594.65417888912,,10122798.348305706,629.8013159960515,39754.464561240005,183972.57681190342,17989345.539343365,0.1768741936547804,3181850.986648578
2025-06-18,168458.42910551108,2789612.7989745275,113371.71971688622,7041.948397285969,117227.57703742634,48465.942517414354,1644629.9815687004,475920.2420049313,52730.419711942195,33783.75168784,181908.72902382925,114608.9158126659,155094.8894183834,11.427931275514064,147934.5892169106,4.365146524289285,5953295.110474862,78.73162443168287,134759.48992300013,412412.25021162286,12551351.309505971,0.1699069740672755,2132562.1214534957
2025-06-19,10328.48860032543,2486692.0161487246,43928.91468668353,6802.375334889423,233746.10189422115,11921.473887141385,631233.086273,276656.8978143514,2298.41485533088,10040.085047200002,25769.667398699887,31812.474888562734,20765.783704476875,61.29120802298878,466872.429519894,2.1706982166205444,2004419.3420624242,70.73070530125162,13647.074026559996,16441.144603640467,6293509.963357667,0.1705968334459829,1073652.871009562
2025-06-20,17675.24588259853,3797287.2029906143,318234.310446924,11965.464669076546,159440.3003335844,41313.51632199019,496715.6358815002,1002657.845069076,3181.451138741385,91458.19465401,334636.8069516454,65704.67184162972,145781.97755691648,,234086.51669128405,,7655640.316595248,897.0409260031648,16621.157755180004,162492.3896837972,14555790.04538982,0.1692780992429178,2463976.471862573
2025-06-21,14037.303123449192,8101887.584849304,177381.5172786753,818.4372494609497,228840.6174689977,84953.45816894755,296236.8960060001,245078.95124335604,5722.144891645529,302712.4985691602,73692.35732826091,100111.90267975857,167506.8472229799,298.3061823636406,220655.57168679402,29.232348241894407,16336402.853948478,384.6920071989766,160714.66779984004,35744.994465319476,26553210.834518235,0.1669887799892554,4434088.282053678
2025-06-22,83252.0488526838,8280046.033670083,221579.87601857664,2839.7332829692946,214709.78813485487,264361.01554478175,1943295.8323652993,433132.52053181385,33703.99283359285,367854.266072112,104540.8966932245,187362.62778874213,204645.78781309188,346.95681770367247,158838.4837820576,29.896374506589506,1859066.0345018024,1798.8180391191588,69522.37653272999,17611.939050094923,14448538.924699837,0.1603351603379295,2316608.8051405638
2025-06-23,50748.77932287053,3832166.9591665184,157656.85192377132,1968.6026172739137,351774.80693861796,49787.86405049136,965088.3126113996,196157.79728421706,10763.698149905302,313675.0445169022,18298.34942059212,237261.93575703946,105032.90612695967,45.211051474431954,123847.09616875199,32.396918485578425,4077549.9234561827,335.1580422538726,244256.90792940007,5901.866436814631,10742350.467889922,0.159872460064805,1717405.9961798708
2025-06-24,48601.74129843111,2154930.564417326,83203.78905283792,9390.438663002278,297002.1148533262,402230.5967906303,832260.3238650002,170566.00155641715,11110.12719393605,22761.51241103069,79411.25153617964,321811.02350543794,19120.96501064014,2666.1640732990595,78288.12035143487,2281.7374599313057,6100656.889325461,74.8631847712076,126238.60498032006,30837.275533229902,10793444.105062643,0.1795133083218678,1937566.8594869566
2025-06-25,29088.798792062255,2249569.209200344,63607.67909020369,8242.147436358171,126386.53563059881,148761.51804773865,278928.21175679984,99448.40751622496,3489.361186054613,18675.867692657397,19203.85074939007,64544.98793243736,16120.385992280995,824.7361470085359,85270.11639195019,346.33090094706756,2867622.6840499095,34.64226370783735,4294.23141294,4007.8207729405076,6088467.522962554,0.1826350427791137,1111967.5265155104
2025-06-26,27984.20150067284,1824872.8682913368,57024.328195018155,11203.772095235085,527952.9109905234,54828.79689361048,516348.2171504999,171834.92260278348,3307.2295824526914,131941.12958469003,32473.725390203275,16883.655022424755,36911.44958117085,863.9992841720746,51365.37579409444,357.2030496862291,2349495.6231269585,809.9083615119291,43938.82239214,2220.3923737383407,5862618.531262923,0.1758006890108036,1030652.3772035273
2025-06-27,73838.43127844053,1680754.548412163,86415.83093892744,1637.8642589358205,78246.45481841714,103449.44747465856,242461.66792750006,311813.8258977288,2036.2819975412815,65101.06808406602,27085.14377682562,78607.12357196439,21859.353402333694,352.9303234030057,76846.45019825958,85.50748683838214,4019737.857228891,547.7849034577555,9363.730398479996,727.4411862905874,6880968.743565122,0.1720168329902254,1183642.4511728026
2025-06-28,7059.30073770913,3427138.392511217,70424.08395077159,4585.527959099588,103578.86929300439,26719.970398696903,1111160.0652075,233438.65453746906,2416.8908502945,4664.537861617201,1043653.6018863204,57263.515315159384,19924.948575099595,148.22490422874043,85223.27606790111,102.74801514604837,9190991.227387272,110.23595258916379,216125.67064203,1278.7894299558395,15606008.53148308,0.1748547771287205,2728785.143641385
2025-06-29,27555.35017834873,6758136.030314431,56794.94675552058,1333.5578517280017,143772.7276977597,74285.40523505895,1308960.9101495002,262721.324278606,4380.178788594532,5326.079289453802,37340.425765316,35424.98624297656,21631.292196829,248.3384055791511,117882.89938481103,103.11764893823853,2152220.833779064,3593.7251137207527,177936.39581536,378.5329422145058,11190027.057833811,0.1764098485946643,1974030.9790426595
2025-06-30,16982.52195632509,5129884.440129123,113941.8943089767,2505.020523119147,304174.3458145886,34332.14469821252,759255.0819093,169381.279679315,6361.384805514109,8205.930395490002,70906.69375227203,136116.21205044605,279040.3101028949,342.5448633854583,26468.97826967407,111.85518875003376,18571042.979167793,1514.7002541288941,127355.58064056,732.9086933522843,25758656.807203215,0.1859339607361676,4789409.083406939
