date,folks,hog,ora,xalgo,vote,alpha,gobtc,talgo,tiny,hay,pow,iga,opul,silver,nova,coop,compx,mit,wbtc,busk,algo_vol,price,usd_vol
2025-12-13,22472281.044555105,366799.2149498936,66011.32181293538,20472945.221714124,883386.3755689345,3543962.9910825356,1274725.9932708004,4745443.796514422,270136.36324465903,1639842.2889970334,260879.13623385775,401417.6447357999,403976.2853459557,58760.36051686202,105039.11697047288,131071.5709245137,256139.7040925208,34578.28079039999,232017.62215840007,7060.523395554406,57626474.85687477,0.122984382806048,7087156.443560987
2025-12-14,18643748.71730762,726609.9192119186,212720.45210984215,37581538.44853879,684009.8274188652,1330366.0566790607,818309.477238,7365884.5928244395,232361.59569272728,1196201.5363853264,105389.75590912871,397582.3537019002,109430.15424186106,52465.90729613999,108170.86535484318,144876.7450068787,42011.80262801238,154235.89602200015,231380.04096899994,8509.131902732735,70145803.27643909,0.1220329766782781,8560101.175312774
2025-12-15,4900732.560840603,289333.6576247959,30794.255921025502,20070974.271759477,429598.83896115643,1076733.697417526,738377.1593329994,2327509.61004613,809250.1729920756,449364.82428279566,125042.2754232889,149936.55129599993,208027.0088187982,2193287.95820056,28896.92459298569,29215.902982250704,260109.00009904153,29129.308346500005,174490.27978050022,4185.543571951721,34324989.80229046,0.1191146050594957,4088607.603971046
2025-12-16,7006176.814568934,201376.72866973205,61976.92055460175,9889535.716854505,437598.03148341324,550062.7222012306,661009.3914659,1652923.0526407443,213256.52376905354,1548587.9874823366,123807.37514509266,158349.5436008,187041.5998941126,1787968.9279850642,44662.37472584046,18830.609771922405,171791.0154878425,23204.275325,199436.52169619984,3279.517497169816,24940875.650819495,0.1154577740114873,2879617.9845409235
2025-12-17,5193920.437747279,222867.17553253486,24444.888521616293,13544836.40093514,445621.84816417884,270702.5744236463,377173.75694740016,2456969.0550017697,168025.65434848674,414922.4937446267,66160.32515625843,110225.11278200003,217849.55716787593,171732.47295106805,28623.310713405604,23701.440118695802,14220.51728549504,19761.9190128,131858.69000539993,2630.276275676901,23906247.90683536,0.1168087973671389,2792460.0675581195
2025-12-18,5564269.375844719,222251.66255646708,46939.83046826382,29296681.736207806,596058.9223422771,1277127.844556059,1267559.0841283998,4160123.6899807863,294709.1534083083,392593.80646713625,94211.96088604929,274469.9048687002,62311.35953102108,462851.06396278006,26619.22930146159,23172.712152062184,42156.80906724085,25770.960753999992,104454.2874196,5625.147200428758,44239958.541103564,0.1114250962466605,4929441.638390735
2025-12-19,3058854.8104794626,83450.90318809859,23246.990441733524,21301899.354432218,263215.08739137533,324416.80315800314,539971.5621163999,869503.6419072112,126606.29008506669,285775.8777916892,48602.62121100414,45249.94145999998,67865.62775697876,296228.1072925199,11216.099453943585,19905.01184819583,13052.488272498125,14163.019292,65551.68393199993,3352.5652541751056,27462128.486764576,0.10727297346031,2945944.1803243198
2025-12-20,6147717.265899112,139648.51256799875,31352.75199715689,5006048.507420548,377204.9241092538,261783.93764229005,548538.3402431998,1627360.2499738312,188530.21411650395,420492.95281537017,28099.5552139245,117872.11143499996,28255.269732689594,87086.61399377398,19297.15613863888,13486.293837366842,25910.76035571422,17039.7890568,149833.4296256,46098.97808088924,15281657.614255663,0.1147572915088016,1753681.6375768345
2025-12-21,4832681.335978266,122928.51298998596,15269.54518555984,4103737.791624563,363440.1234738857,429570.3232115232,543279.4403953998,548289.5277232437,118008.58468862547,205712.43005287932,54828.843483743454,125251.85134549999,17818.667531730694,55390.39146270001,18252.747673384853,21791.4547581575,9394.213180308301,18757.607240399997,55139.28859999999,184372.71771952833,11843915.398319388,0.114740452584454,1358976.2131751503
2025-12-22,1749801.3764670717,57909.041879811215,18154.250817175056,2427489.4206150426,161831.19215286398,644159.7790964708,172846.978724,3280900.7352737817,78999.66344320997,75442.28817326491,13870.659010898444,47961.99969699999,126500.38249318999,697725.1209500821,7464.440542811477,10873.20749952332,4945.134965952659,15193.343548800001,40483.958232799916,444059.2156911731,10076612.189274924,0.1116000702711253,1124550.6284179592
2025-12-23,2818366.9501378825,73101.48019551298,6329.822350927707,2606321.301406693,252018.37215426355,219203.7872134092,394969.2651729993,734818.595793139,64753.64632160571,111856.8465279611,36805.96816942667,38799.968668500005,32911.41459940495,273938.7673550591,9513.44515573091,17943.355415710892,8287.133451574595,16048.0572984,62294.39660869992,2422.6558706239284,7780705.229867525,0.1117607233537683,869577.2446924427
2025-12-24,1150239.6296228622,45500.62027935189,3218.720485805691,1566128.371941124,176249.4121017648,466839.67751208384,342651.8579899997,3109726.2302186936,59880.06972512374,84378.30807809264,13447.4341189404,27100.5617388,106298.66227983448,149640.29567257702,25819.220847889876,13216.2346535568,35376.70219885193,21123.5170982,280411.6754159998,642468.3315382487,8319715.533517801,0.1136830184688899,945810.3746528144
2025-12-25,1184262.6563891366,114492.965900999,14951.683104453306,10745409.294099387,294794.80854080926,2274403.45541558,509925.49544239976,4060581.1891739513,172848.27349447628,498168.494117097,13100.535789051106,73038.00046199995,102839.49441607766,162959.93387083005,13213.78829531576,31382.822254750467,72841.66975938116,19569.0422244,103568.1450265,6118.606073641906,20468470.353850234,0.1129514325556425,2311943.0486900825
2025-12-26,1947640.534552578,79777.88552841265,5065.1288389005385,3602057.2593284543,165669.11894538224,177926.49232435162,297857.0348700003,3049754.165137247,196641.37851662003,1171517.2306341555,18453.02433416717,25925.5935142,316973.68172252283,540879.0491337602,8442.504109428182,50476.9093806503,29815.37691422958,24407.756340800002,27667.9326048,984.4555920267597,11737932.51232269,0.1137992698299841,1335768.149215953
2025-12-27,544430.935064094,89115.60127156306,5267.086396438684,7738675.227020166,141843.1168394722,926429.4311828795,285709.8116479999,330398.47191189165,62633.24742855824,107800.94774791079,11652.885050050565,19078.422313000003,94570.41919844596,1199555.2063793268,5552.600495111494,53507.59760407279,8891.530702970125,43327.092339999996,81954.71790839992,846.846376784327,11751241.194879137,0.1181552422993316,1388470.7506988314
2025-12-28,698134.1578239042,41971.236404706295,4756.678289520288,1859228.7653399457,138105.57004883102,335489.4537678816,317592.7397240991,730678.1074644269,225134.78804887342,203067.90745455844,35709.46572702285,29240.192659599994,28588.84649313079,91389.53795191202,3278.17417425135,20141.220389067865,3902.2432184538666,12849.3447124,64518.52463139992,852.5460276623176,4844629.500351647,0.1199275040583,581004.324064382
2025-12-29,1113844.3078982546,43781.24219172313,6258.282516108165,3615735.9796330375,209815.45061857908,301170.42370261194,278141.32905000006,895757.6485278017,153047.24715976257,609073.4233719222,12852.642016931124,46474.257603599995,158101.49036978037,252323.7056059649,4821.490152346801,22347.6592027388,87523.22465255651,16115.636474999994,36502.171228899926,876.6364853675503,7864564.248462986,0.1199408439134058,943282.4729718507
2025-12-30,839897.6218170297,99642.57067300729,4340.166390132913,2010668.7051240746,219276.8906903414,161912.18908554467,310015.0502351999,673490.1584966633,175911.63696571827,196009.56158740981,12123.30294031759,24292.8287355,165275.51946216178,371872.52278368606,3882.717287149778,18892.198416507148,65880.97089724985,22775.841916500005,37832.3150868,1486.9516627961375,5415479.72025379,0.1172661003810816,635052.1884869926
2025-12-31,1687668.994277465,34933.767592634395,14852.942506974396,4991431.455831637,152487.75515489894,401122.17080500553,1746923.4062686,1646378.5729827252,184529.29375090377,314664.98755224363,87699.73122830811,63906.742757000015,195718.19705691005,217868.470494515,11964.548692181326,299695.961391313,28541.89176392272,16245.240106799994,190859.98615120008,1165.7874338545773,12288659.903799094,0.1149984389074665,1413176.7052016733
