date,ora,monko,niko,ballsack,tiny,mooj,gobtc,vote,xalgo,opul,talgo,coop,bro,galgo,ipt,gold,avoi,goeth,meep,cat
2025-01-19,54079.63941870641,3029978.8260603216,5663.387844449948,640757.9854801128,336640.31023620645,66880.99243191558,935801.3264123998,174698.5334741276,2533643.532815985,406073.6327984174,2386416.857884373,110450.24629107464,141214.5675268189,4670470.739713064,31534.517484257358,214023.36910760013,24693.01142283769,243176.70796294376,56166.56448890032,146505348.17566955
2025-01-20,64157.62801264334,1845556.3549069208,12290.202837136258,493086.86925921956,582670.5602096393,61143.324363115964,921753.705519999,163454.96980004013,811973.797912906,444804.6065384397,3282084.1561790532,203230.4980716942,121454.13745240822,1858675.20535515,31831.849093344965,260369.09332083995,32818.54739944568,418209.5156679691,23336.37326101695,78395787.22486289
2025-01-21,22467.134474613733,1095681.5609180385,8485.624379569863,169810.80248362894,208400.88320304683,150794.85134346967,890916.2413350003,83822.51387604841,762856.6435037189,388171.4390621663,2885070.1495849947,38939.97938103475,148211.5082747513,1052226.9832670144,19227.31077982024,136341.62085510005,120830.52363155592,120065.03342983201,9474.743561807854,25004920.793348435
2025-01-22,33275.48554805407,1415674.8301634006,6052.886510610556,231297.14595754113,136177.9258888028,35610.54518623379,776581.9603299996,54401.83629592666,25531118.62888056,85410.12889496292,2785611.0940468125,25142.31967661153,54252.10772289449,2877086.253312058,28581.81403209521,423271.91996354976,130070.31680009194,118630.56580359199,18445.159709612457,54818709.48273661
2025-01-23,93963.6772708338,1064207.066027408,5918.1719703354,218482.91953667716,381743.3631369112,141322.4323311159,436991.8099909998,132688.9836310527,50903717.46001601,563406.688414266,8005149.639540147,59654.92501930737,127263.19984569316,6179087.754345706,23457.641397420994,266593.67297839,81530.97640672518,367212.88178237446,27699.455949308103,76928927.4285008
2025-01-24,53809.060559591104,1506927.8477510104,6517.088923965435,117500.50539351757,383307.2351546516,34804.23380499315,1031624.1359747992,112143.90930256923,45372331.41502793,381371.18837550154,5895231.819278191,76924.07752650796,72950.29323121828,1587092.695418723,17798.152963984652,1428861.0511130996,23506.263029100453,229805.92405238992,19053.43787646429,60996701.27727835
2025-01-25,12481.666503932034,650110.0400932927,1391.0440069710764,335751.2378297723,305943.1668851941,26451.326074855588,242349.1170074,28233.575791975327,21371676.399498448,179664.74931835415,5112835.378327629,21751.348764506503,56042.617055149436,3519655.168051156,26721.789445209248,28426.434295360003,53180.49134393668,340604.45733384805,21431.07475826333,71079642.84765922
2025-01-26,15608.416584551458,401280.55374858197,1897.2070252715716,175630.07839714977,181369.58174102433,53112.19447910859,1665788.2756712993,46655.854952484544,10250397.543498687,262181.69157621375,2888301.4324167226,25390.237797963913,32747.93734829692,474306.2006239204,9513.64870260771,237646.7265412801,32623.581482496556,1034120.8094096393,13293.798222447434,40047702.979326576
2025-01-27,17815.379313904097,1445847.9976089022,11529.687904301634,412057.93254075176,239604.03448737657,74014.2439297006,919886.4223219994,149137.4812308346,17083338.4711863,518038.9854803322,5820023.300404733,250295.4505055572,75187.15674285305,6376028.535982471,30930.04794731056,415837.68528492,29299.011690118277,72073.888279583,26842.0221405536,88966939.38649216
2025-01-28,14284.379469478834,909496.1195735987,50403.595166064624,235087.2873770842,484116.12827689166,42725.49702602632,266096.84279220004,40926.940443345215,13795230.322905943,194721.4568932593,1814097.7994539684,61556.13252040956,24967.05748149197,697927.6418358118,11001.160817140128,130432.48060855993,27883.249900307612,27117.617303244002,14937.897651008048,45366925.08436025
2025-01-29,19046.68737758896,606332.5566158148,4129.949170959069,215827.40444106492,481270.91689629614,39930.67210510005,375820.7191488,66918.8831101692,14654789.946326522,586074.7791827616,1844034.1964752164,34509.230981090106,60285.007229861134,671950.9495397332,8510.869495084507,153901.91102328,36924.6918888874,1085594.98549437,8768.716832299106,24248859.849755894
2025-01-30,7405.825284126966,902428.4937419915,1922.4987063593762,119717.8302433265,244780.6543406515,34359.484096089545,467366.9121104,65728.54424853972,14652808.36330752,1014130.5663369929,2997625.471486848,50439.64008852865,37000.04531375639,988386.3252917001,6721.003841104282,793187.0607552001,46461.00121613145,64379.51279182799,13041.01656105504,32770094.085026905
2025-01-31,27675.22558267433,216280.92807277082,12240.221882170003,133177.36224560605,291033.39699671254,26594.134272350188,336240.9481390001,73754.62851063472,6538642.295954283,521003.893149103,1462913.7381915182,64087.79555555368,36446.09944571753,623921.9420582481,10268.604411127488,207346.88685296,88236.96051293124,259165.39728263606,26518.421560396095,63296197.139173925
