date,ora,talgo,vote,gobtc,opul,tiny,monko,niko,goeth,alpha,gora,deathos,daffir,shame,stbl,golddao,malgo,coop,xalgo,compx,algo_vol,price,usd_vol
2025-07-11,15613.572592935101,4970667.063313846,241955.82795799524,1574111.3402159992,850180.3881697685,406887.8006861102,80152.1175218045,9556.785455262818,799964.4779378196,255785.22968336573,183245.03662175586,251.71140065176903,12762.146711198495,20.63276859668278,106068.77550381242,24603.034882349013,227665.26213000176,179293.3090430298,6183235.911854795,87081.65094835266,16209102.075399451,0.2113105254773241,3425153.8770682425
2025-07-12,15724.535199815831,3041367.5657663965,67059.805957135,728304.1145175002,266832.3928133668,164051.6029614201,34469.08132009055,1515.5342267916433,79786.50110676003,33870.92050474012,149083.55045883163,138.25710295094012,3547.9524297143357,15.602250493646551,27320.445571834804,12466.707075540904,43446.25934203201,142787.43635456776,6470038.726905097,9334.795148494442,11291161.787013574,0.2182986692031049,2464845.591862015
2025-07-13,30189.8701100611,5833408.3826388875,417871.66578684497,2892313.974272794,171197.62629920073,443624.15408048854,75458.24622987385,39872.181231743736,658515.5597283199,174954.44772271576,448930.883538142,7344.466281370714,137111.29685260254,3130.317300366214,123614.98645058907,39738.879272907005,787506.2458852484,85988.62504919869,14735295.83679622,33599.5212553191,27139667.166782893,0.2187073827369094,5935645.57439792
2025-07-14,20958.211280495252,7674759.351655873,306234.4699983714,2239426.0457219956,778269.6268145749,387748.496710316,251604.33946007077,8661.902028436312,432518.66638079955,424124.2303364061,299764.2485016986,382.3392851278028,45280.79398764839,355.56247162831767,117916.07768403416,21953.621413541405,268356.41835049796,136620.11497727974,13379867.833326006,53356.28623745301,26848158.636622254,0.2643311552998526,7096804.790092076
2025-07-15,54726.52219123368,5175795.653237422,190659.76132191162,2087011.4432307992,256965.61973661068,1017359.918742952,120679.71765539452,1952.4091896794237,491375.81084858015,364137.98145779263,205757.0713512352,193.08434384160708,27073.568061978396,134.2770167995887,69946.790205747,12872.713703590407,1072805.5282672648,45062.3256257453,9148199.670742838,24373.811556430188,20367083.678487845,0.2791382733551955,5685232.57129388
2025-07-16,25555.174166521596,3806355.305649325,108107.50384767221,838010.0130709995,610682.6592087072,423802.37267287436,110713.61243474873,14322.975464412275,408755.5332555201,129916.79605504875,96650.04644268026,183.1574187605862,3323.9944489948,104.37945478125675,51998.22239435758,4467.8195963374,54268.739534467204,27196.997377441257,8704303.803791597,12724.661519197945,15431443.767804446,0.2830587545300471,4368005.253515184
2025-07-17,27651.52236380516,5180460.477718414,249987.3580358846,1924731.4500439952,669911.9781769324,858431.6534341439,215830.77438211616,8368.768823772603,246697.39014924952,193251.10286712507,58765.77307652019,235.579013560058,6702.088662043388,214.68707765549365,54208.5864721073,27788.61555785231,138944.5885722455,85035.98641232276,5630412.365540564,36537.8041513673,15614168.550531676,0.2843520517477673,4439920.863679144
2025-07-18,23682.442603650696,5910930.156988749,156598.76557257978,1619337.4780992977,902311.9254275612,307137.18961066613,242299.59558372546,22030.53439299453,242798.47083803974,84668.70023312318,159665.24135848615,1009.7714822308849,4465.785299956125,595.2187246619638,36999.45001563359,6790.589336260801,278028.14532362984,43399.99172253891,6664232.851222294,27064.730611757917,16734047.03444784,0.3211962158476967,5374912.583282017
2025-07-19,10323.569331667191,1933955.4799208848,105236.99816376386,475477.13336489967,275792.5261081392,256346.82202530056,89090.28628320622,6014.5660740782705,49022.55510464,174919.2204217227,61205.3863815677,328.32711410804893,2114.7527218085443,21.737122684363282,10686.0588573816,588525.2817931573,30583.056159136,13782.391794171741,5196770.080740903,12979.048520408456,9293175.27800363,0.2934073673442743,2726686.0925879395
2025-07-20,30511.34276738973,2697689.1182861365,66928.47074292191,451110.48146119976,372997.8224996504,206203.9105703716,160141.27139403316,1041.8604755006681,122994.32804089997,52713.12037657853,133979.54596929712,202.3885894645553,7737.098106778458,18.444602476664137,19065.387673173394,363607.19747058983,41212.14798035251,16141.858693008891,10359002.379270561,19276.391487317782,15122574.566457702,0.292230346797134,4419275.210021453
