date,gobtc,ora,vote,folks,hog,alpha,talgo,silver,tiny,hay,wbtc,xalgo,gold,nova,goeth,coop,costs,opul,pow,golddao,algo_vol,price,usd_vol
2026-02-11,387069.8193491997,11306.988302024954,153499.44151856648,604008.694247022,23547.532863547567,859351.6784207385,958399.7439293223,607123.9301283448,75481.21211362578,334271.02052389,244704.45319679976,2346193.424465716,228856.44577100012,86885.38025880037,31126.287068160007,33500.378324616824,,711854.4299589149,28461.065653683938,15822.377980135992,7741464.304074111,0.0916106458598414,709200.5447971369
2026-02-12,209054.53011359955,2230.5141034052094,93194.50524435466,663937.1775776349,19183.142231535996,429010.4663068196,1523563.8485509262,840253.4946907199,157361.95101722417,30567.3124873506,67325.54030399992,973257.8889317898,789606.0161776997,126245.82158401859,40044.60452553995,19742.539671739036,,124272.08456906113,17229.510840271087,7629.576679938002,6133710.525607627,0.0888932102925438,545245.2196264281
2026-02-13,259696.86498359998,1582.5424594925548,126270.63638832855,612828.8219564218,18928.00444017001,822974.3624037843,1837273.9976206068,136828.03953496795,85428.87408798175,105363.1253456225,804724.2240731992,2619589.692235891,49179.97874160001,10765.637122404578,16471.307915260004,17298.916044592686,,58868.25842284992,1942.8552405107275,7261.893257160001,7593278.032274445,0.0917685030976239,696823.7586258969
2026-02-14,371172.86059229996,2667.8708010657665,113433.44536785464,667444.6941021656,20357.06439598651,226306.24331899674,1016308.8911177008,406689.63043225574,51424.08341998229,17314.67494112136,111014.6326842,2100341.907317157,247173.19140800004,9480.986193736888,19479.92986644001,23167.099500551445,,232345.19015928858,7177.070932103608,10456.582532983994,5653756.04908389,0.094016822300528,531548.1777972555
2026-02-15,136783.0105532,2766.7129039149418,74060.96583511394,433859.5538695714,9346.162303709805,229717.68418693793,586079.4480692896,229662.341592025,55594.744593171876,23004.453902391837,45560.413411999994,3246680.4646168225,29995.822833599992,3453.711995811313,21889.54887700001,12387.94528274013,117739.14601558875,71082.41935175203,2714.558747710489,6558.9563296800015,5338938.065272032,0.0996798447224044,532184.5173288503
2026-02-16,275155.57462729985,2146.1724473129952,73969.82980339292,395271.9362981598,24913.160455912344,294260.72490629804,844391.0974093471,60398.02929140395,65594.76031634508,763624.2103323401,42286.2361656,2074425.102079858,21133.534547,3489.5706439326364,20880.812603950017,11886.415141920004,14014.575183404328,61854.79807501762,28876.179942653205,5218.127016564002,5083790.847287713,0.0958162690206438,487109.87146840617
2026-02-17,76829.23583999994,11698.34336425872,112205.03019262348,356401.964765196,111375.05910197034,464555.8930947278,2437314.596334443,87013.57067730604,54116.312126624594,297459.05746216094,56865.78172799992,1089857.3739726914,87285.5382945,29092.117730903887,38549.86598641002,12228.859125761248,4441.247801365639,96156.70866414379,8655.560646977741,13214.885451295988,5445317.002361361,0.0946170910724125,515220.0547305812
2026-02-18,159796.0240299001,45794.642312575816,105323.08145895271,494765.31150340685,35991.64450587891,177179.40216484814,613580.2418528856,161646.73222818406,514105.1492079694,799520.4866454898,112252.65559169992,2016436.525947681,50138.86234800004,6413.811654413933,14596.688078300009,8902.185851111659,1923.514016029023,167394.2070728779,75749.73333056745,6270.253834705006,5567781.153635478,0.093098395262465,518351.49057605903
2026-02-19,153625.3721228,8400.629354573424,94656.46012443256,677544.4705139756,19907.497979102816,273923.4516438918,1851908.852393864,33547.085426624,102887.66310584452,112820.94616304598,65351.44945499993,3617222.115772011,30315.1912945,20652.27236756118,17563.178784610005,12466.619723207876,405.1123050004337,185093.7081692937,48420.26206643788,8621.012719624,7335333.3514854,0.0908836463501557,666661.8421769014
2026-02-20,88161.29589530008,1133.772255156346,84388.2301648194,578896.7664920317,11955.313271540395,246958.72785321152,479019.4633481661,67288.935479568,447515.1206564311,18529.959230951248,37734.0706739,2258274.478406792,34281.56894250002,14323.595423675792,10493.054034539999,9189.486581259405,2.756452645922931,74190.87475739433,6592.8786162523775,9295.369787802,4478225.718323938,0.0890268876530394,398682.49791017687
2026-02-21,387496.6056936,933.2851882091943,62917.01004551788,202262.64763080288,9105.170086847997,150937.44403556004,687866.0599055876,122437.84246743903,362336.5454257009,113407.08692541401,183517.19180159993,2658109.285209655,55923.882105,14244.719650858016,8901.17499432,7521.127700714874,0.645222179201171,149060.22399260802,3224.994122990948,3904.4781464759994,5184107.4203510815,0.0904612704078717,468960.94317583344
2026-02-22,227054.35056149968,2988.85274592082,117045.72201501622,253908.09443729097,11148.781092342293,263162.0891086464,377039.959433056,169393.73825210056,167554.4860723266,180527.00491916793,349785.01646800025,3390649.9584035077,36621.17445240001,12402.182317922106,8100.454982750002,11065.665115497959,3493.680304375516,7340.296882617024,7439.779882446147,7918.105692000007,5604639.393138885,0.0897361603314694,502938.81918278034
2026-02-23,391163.90840199974,6844.940577730786,258765.6701541349,480351.72139645985,25749.559797000024,999163.633144184,895308.3186393727,1167748.0514287632,439483.8917243509,533365.1999906126,315167.5064377001,3630503.023976302,1356704.0037065994,15104.974810174634,24350.658876880003,50214.82979972271,1380.583002471527,40427.339608003946,5070.782191105746,494054.87865319225,11130923.476316761,0.0867061999790744,965120.0768892951
2026-02-24,868203.4262677936,4125.977214821526,111513.5639694183,415490.04289724893,10819.451531672015,218004.43280284558,367041.77909808647,301864.8564931899,185225.04418852695,549866.2163361163,1183298.7589445992,1798028.8930390372,15638.494145599998,13120.502244849278,10918.393965759999,12353.900657945496,,109719.51428820106,6387.014254938867,5902.233519167996,6187522.4958598185,0.0839162222191076,519233.51274829987
2026-02-25,814425.3077634991,21418.897734236776,184920.50771324584,251648.64394104003,17673.533812980582,209599.29707102315,1218292.5545876974,120799.98549627296,96447.08465942388,335354.2778178546,1312138.4840381993,2451333.9335592263,64967.0120578,49288.39311276224,41513.57911800002,15931.9824758736,3.2911941325319685,188835.39812584413,12704.535931004872,14226.869729393995,7421523.569939512,0.0836149348480943,620550.2097740886
2026-02-26,949693.5517096,3135.351650992544,71408.3063683695,628410.1333249884,11134.4587965261,750281.3134105476,567861.332474312,532971.4084921875,146849.91918799278,72648.9876268126,118850.60152299992,1156710.0365250967,686974.9889183998,14463.335735533834,219305.98124324976,6889.51664759576,1.6017249037880879,121794.04594812998,19593.381620393167,4953.894705336998,6083932.147633969,0.0906523406592491,551522.6895950715
2026-02-27,81593.169875,5233.464017296266,99433.38542466522,1872686.359156253,27327.370714058925,254999.52386340423,584173.0977367085,65885.158502238,88452.82209443575,44699.76499503976,36431.328032000005,1463175.200922191,31888.981726,17848.445095339775,38165.605463199994,16923.73881884711,,150303.61056848257,4955.150353115096,6804.854682010004,4890981.032040284,0.0881382084986614,431082.3059649647
2026-02-28,1539987.0980303967,2693.468321394432,167103.18404795916,987561.8332943225,21784.1070845654,276759.32673811197,892507.2744371447,231581.2958862939,89996.56772969919,185437.41082605193,168342.70520000023,4097628.6902340474,87921.47287350004,10874.871433088343,27808.5229191,25220.000349334216,,154770.60220297924,13437.625197893838,13601.76543715,8995017.822243035,0.0865121135359955,778178.0030961924
