date,xalgo,hog,ora,vote,talgo,gobtc,hay,alpha,tiny,pow,opul,golddao,niko,silver,coop,iga,goeth,compx,fam,finite,algo_vol,price,usd_vol
2025-10-22,3299553.2079616445,54736.31104141197,6044.655226985579,109863.12163482657,1938355.9691769425,208541.668951,105007.28608222966,147054.33439551422,155166.84894631422,204199.1606775919,77159.23523176006,12303.2375213056,4583.908343513426,107405.62253866262,9640.784384071427,29331.6177132,56837.47212803995,49025.909073538875,3961.72788,48056.357359943155,6626828.436268497,0.1812612040861114,1201186.9016301106
2025-10-23,3196862.5955256075,191104.63857830394,11464.22704609387,60688.348540510095,831025.0790103222,2473545.5686803996,54525.61241414149,276950.81027943204,320685.59649815207,196106.97844200744,72322.93269171014,7270.640322346499,9292.123723773866,54936.380629600004,7170.209955005623,44398.38726450002,15716.71318937,36381.35793550767,6215.6221064,107335.92590977071,7973999.748742956,0.1783738343339626,1422352.9101613353
2025-10-24,2563930.931590056,775476.5882357127,30922.520008147123,87331.8051669536,2091664.456659437,708024.3842069999,1345939.36588765,143569.41431072864,400700.7896800821,182308.9574141907,38766.7486832606,5226.769420794601,5690.8150461302475,63215.77997312709,134349.75604677628,96686.90289720005,29324.828509200004,43209.95441339701,21738.2167992,46000.38765006095,8814079.372599104,0.181187365877399,1596999.8241555493
2025-10-25,2163512.128807502,204803.64095768498,18395.836492272105,49674.655637607575,735887.6726473452,145790.489199,468154.6213020466,105343.53624930745,115282.79421171272,28435.218496200014,154898.1139952002,2428.9443105959995,3752.6701675069357,24141.8622550764,40003.69979419023,32762.247172499992,22661.068246149996,29295.73210856861,5861.0918771999995,29569.220736325547,4380655.244663992,0.1857375356498395,813652.1096754345
2025-10-26,2321256.2551181056,753381.8494597125,34873.823528985864,92418.05282965057,977919.0602768415,97385.87600460005,460442.8230524527,339642.7517617208,120847.01329463013,37064.534037063335,286571.93978763075,7730.215901141,2937.8936631519678,22450.353599626298,11874.129281216115,35158.13977770001,41247.27830465997,23747.27710853425,5186.0775404999995,22536.34165087699,5694671.685978801,0.1854171069079336,1055889.5488047136
2025-10-27,2808327.752657228,541159.3328164998,12247.905904159212,130758.11323798494,1662143.1283481333,769437.8922007999,387253.6406340457,299269.78217160737,138247.26048097346,63443.30608547907,68745.69629605273,11393.5982409276,9797.123621122573,23211.340243783896,42749.85828257679,59770.611359,85169.28258381001,37533.58032670402,7619.169355200001,36138.24882554374,7194416.623671634,0.1911431117996667,1375163.1810318478
2025-10-28,3916337.7784944545,89079.4415481379,19355.613092432985,113284.87485825432,1271244.1888733811,316646.1349948001,204535.7288518628,452355.3966182322,107960.0348580637,71205.66539675898,103608.73654281197,22389.016528810396,2969.785314851918,15107.877790562394,12015.75956824485,41959.293984,71431.35516126,26818.212068170145,10443.4557891,22129.350261450407,6890877.700595642,0.1854152429238031,1277673.7628141588
2025-10-29,3189071.7404888533,91017.665186032,17210.736324567097,120473.77221944128,954230.4520704785,443364.40953559993,156609.45641694378,175795.76676341856,146962.2201856514,27643.773089123377,234663.18392652966,11067.339841274399,10263.53833490758,69459.72013218544,73247.82543468966,23736.04779810001,469731.01102391974,7726.913072949508,4972.970186,15153.383771196475,6242401.925801862,0.18484586442148,1153882.1800411565
2025-10-30,6113170.578288936,45382.78256284497,15970.357795114316,176917.46524575015,4539524.102456858,611408.7704339997,870972.8641517427,224580.95598026065,214966.8161565745,1271143.594423206,192018.11799100923,27224.525926637492,13172.684059105042,69877.306974951,32034.280400182262,51818.018777,41768.07710350002,29922.62688437522,4997.392326,23204.364980978695,14570075.682919027,0.1835796193475716,2674768.9477355843
2025-10-31,12043297.029303877,161849.76773952588,12854.552652659886,92376.99990292346,1072443.914496548,139507.4267246,1170995.4214298336,120562.23872793894,139354.55628519243,64479.57089955494,111342.89581746857,8205.922521489298,33369.84515966682,27144.132226521004,6136.738810160544,28766.236899400006,7511.9132869000005,6109.887805300581,10045.3983352,22329.799843437977,15278684.248868197,0.1732775341319954,2647452.7314252397
