dt,xalgo,hog,folks,ora,vote,talgo,alpha,hay,gobtc,tiny,opul,pow,iga,mit,wbtc,goeth,coop,mist,silver,finite
2025-11-16,3364527.0545099988,12125.839611000007,21386.262308000005,31046.913389270052,802990.5221439999,2442975.0665300004,7855619.726403002,2733960.3002040004,0.39096346000000015,3171519.2953140005,2534913.950473972,2487692.8316390007,106.49340400000004,34502.566999999995,0.12730608000000002,1.1845617599999998,177845.03188600004,0.07010499399999999,1725.25554,434047.3571883401
2025-11-17,1891369.972447,5698.564650000004,11960.206494999993,30013.06201759013,1048290.2808700005,1762100.2456250011,17577091.639545023,2271848.2145089996,1.4016812900000009,1788338.5630970001,843749.9634373257,2128585.0979280006,12.406635000000001,28958.966,0.22677583000000004,1.5853147800000003,302421.579426,0.05465605100000001,14887.905145000002,222842.12876267004
2025-11-18,6121803.3667170005,11557.677749999995,31322.917292999995,38558.382601170044,1729205.6297129984,1548045.0503489997,7293229.683411001,6789794.791085,8.557626639999997,3177030.182122,1060594.1852765258,9084451.637241,25.58920499999999,19634.389,4.966121840000005,3.138640670000001,597947.7392589999,0.04516829299999999,3307.8539309999996,362184.72459997
2025-11-19,3888725.7418840025,12141.331930999999,18951.563722999992,65685.84082860034,1388097.8907990002,3063269.767580002,11340475.168759992,5250689.780318001,2.156181659999999,4103984.081372,101699377.19748242,1645936.6118649996,21.677293,350170.0500000006,0.43289936,12.517840609999999,297529.1772530001,0.3360577979999996,13889.671373999998,382706.69642038
2025-11-20,6733954.907232994,51110.57352800003,78509.99384700003,185076.12198689033,2445454.2274570004,2833886.9456090005,15030492.236014994,4872991.867750001,4.62562257000001,9283686.425914992,2298749.9076596485,3867778.152115001,47.93699299999999,82133.977,2.6442056200000006,2.2518202499999997,524726.2734150001,0.102730683,5058.152364,1060687.1390569902
2025-11-21,11871384.888337001,43925.423867000005,73107.89909399995,172666.74354902035,3599992.844312001,4858594.860467999,27853203.853198014,7331816.515694995,2.7838727800000003,7166715.676576996,2506068.8369832262,32828542.450231995,101.618197,69411.45000000003,1.78833351,2.896710110000001,1014162.9807130002,0.076422239,6153.156378999997,1355247.63778381
2025-11-22,3659386.281809999,20519.336048,16774.675749000005,100125.68154426012,841206.778566,2739450.7730039996,4179696.840637003,9359822.671495996,0.4685662900000002,4552752.398882998,854680.2368456369,37034385.084420994,18.396071999999997,66404.66100000001,0.11370383999999999,10.927673809999982,209599.325924,0.058950744000000006,2838.4718089999997,957251.79483904
2025-11-23,5268266.594252001,20097.714634999997,28138.756557000004,62640.7181561402,1157067.2829940005,1496246.7954369998,6135772.23614701,1046970.29574,0.8765207600000001,2180832.042885,3005874.735312476,4918764.181028,26.694397,24066.769999999997,0.06410312000000001,3.45893038,259204.66385200003,0.050626401,1123.7531560000002,285450.3782664
2025-11-24,12929119.490102008,54710.01434100006,23163.822114999988,561176.1363255883,781573.780494,880134.9262310002,4443440.554782001,1208266.3441019992,2.00829403,1826747.017881,1976768.0943147272,4907039.834625001,11.181091,28879.038000000008,1.9950526700000006,2.3686433700000005,211617.66612100005,0.091768401,24938.158003999994,313992.49190106004
2025-11-25,2457986.6492800005,49127.39401400009,22105.331994000015,149576.04316892027,687868.6976109999,2502607.525932,4152682.430455001,7973615.817489003,2.0583460399999987,3649223.178648999,2713761.643494957,23618873.704485,11.471056,83400.248,0.28958086000000005,0.96890027,171034.99560600004,0.09676032200000001,1416.6386229999998,346899.8039133499
2025-11-26,2298545.6805630005,30292.26289900002,13868.756707,128226.23915611011,667444.9488069998,960684.8360939999,9335092.393024003,1493740.0808989997,0.24218356,4839497.6457870025,1175169.1400675671,20362710.101363,12.044152999999998,28094.444,1.0423596200000005,0.9644470499999998,730538.0988540008,0.05263040099999999,2817.103366,635066.05128668
2025-11-27,4012257.887222,8506.146026999997,8515.816508,58062.312309170164,686598.7284839998,863979.7202540002,8751121.556088004,3318389.6526319995,2.89927822,5521114.090006997,4213650.946462434,2057425.5697199998,32.458538,27148.619999999995,1.0858138900000003,12.382627520000003,328488.7785060001,0.062630694,18331.737280999987,352681.02205938
2025-11-28,1747507.4484569998,12383.694213000023,8978.966499000002,28316.943918730074,414530.61753999995,791227.0073299999,2477748.8693040004,704437.947495,0.4207361900000002,5255563.012447,3525270.02126732,2994786.080264,24.413128999999984,25122.341,0.05146531,0.5774663300000001,179474.557628,0.051005690000000006,4437.517467,284000.0383996001
2025-11-29,2980498.5113270013,67988.31271999999,11741.223222,55660.40667043999,848666.6396349998,1213068.9503569996,4149552.1290339995,5092974.625667999,1.8614888999999992,5036548.501505,352224.25488096033,28736756.50082502,20.577289000000004,54067.19799999998,0.13217395000000007,2.0800277699999996,576653.577933,0.084760802,2009.0734609999997,758515.6648053401
2025-11-30,7492782.267710004,84229.37300100009,16792.08601899999,815471.3178215522,923495.7512010002,1163059.785682,3519950.4832419995,7675880.768973001,0.9642383499999998,31196168.947505992,797388.2412713921,85160475.38119796,21.347311,214259.25799999994,0.05810895999999998,1.0628292900000003,467638.7916520001,0.28541583200000026,5212.758712,352157.94899327983
