date,xalgo,hog,folks,ora,vote,talgo,alpha,hay,gobtc,tiny,opul,pow,iga,mit,wbtc,goeth,coop,mist,silver,finite,algo_vol,price,usd_vol
2025-11-11,6447184.842655245,89310.87155192907,676502.7502673251,6467.99976684585,123137.87489029906,2092673.0551287916,418404.38547939865,67104.8816594388,285440.8072261999,442267.0089004587,71886.9227216136,233171.7634544268,11670.108531900001,16831.80741418,29414.8582561,47919.30267600002,19123.843611221957,19885.19583981,27423.134838891005,7863.818478151321,11133685.233348226,0.1888136511682357,2102191.759866349
2025-11-12,3647798.079807383,279369.0213480324,538372.3444768877,6289.024203951406,176620.82342706557,1310411.3398761197,636210.5410379703,1430101.2976519058,222764.2551456001,75447.63316796086,142202.5250453699,156986.0694491013,11707.575563999999,18339.45639258,79866.9222275,34464.40465997,25545.577031570647,22619.998035649976,105900.13735515365,8812.759135283752,8929829.785039058,0.1775696037562669,1585666.3365402955
2025-11-13,4987205.219608187,280630.0526893621,1641150.5606658373,48686.78399210119,199906.5982378634,3236451.176385649,780012.1301196842,3599460.547892256,286032.02877599996,401641.86290018656,43198.89731601987,71920.02641893581,52986.12129469998,17712.70876738,112891.11594659994,67422.85886174001,20405.202983832103,17718.257697389978,58272.63908573802,18152.458406663758,15941857.248046128,0.1718370303244504,2739401.407360562
2025-11-14,4003440.5349340984,252030.48940735374,995680.6752736861,41529.922122849726,187948.79278736358,4398559.742234378,1007925.5691633524,1356055.0277168409,795478.882970799,284926.25891654444,77790.195120491,78017.56019239637,31950.57719399999,17732.882708660003,110816.12799,28998.081166580017,28060.379749468124,18434.98627464,64091.39160966001,18558.261378137533,13798026.338911297,0.1682579188672168,2321627.1962602576
2025-11-15,5956628.1384885,77763.31143199877,576225.9604780398,6387.700520085274,78677.15277177858,1158560.2264495,2138399.106440839,247940.71020293003,132732.19677450004,79466.89083886905,262843.6486158302,30383.64831146061,12825.1847175,16557.94202404,35730.3148424,981984.1295636002,9261.813464942848,17172.878003649977,15754.563711530996,8751.733813300802,11844047.251465298,0.1611294814898035,1908425.1923693358
2025-11-16,3976870.9784308183,116622.68762671477,797172.9275307001,9573.315743581421,120890.22310877919,2575384.3151359265,965377.1081776649,496104.43607501796,230285.29720920007,98380.52854064028,231333.71220630425,39668.7498933155,192337.73696440007,15202.521071539999,75481.0478928,22873.887585599998,11523.468841053374,17273.169471659978,17585.52971922,25749.42541784109,10035691.06664278,0.1635237295673739,1641073.6320034042
2025-11-17,2235977.581426843,55427.65892469003,484196.99974357965,9226.015264207206,158428.11014788316,1857958.4989870011,2184129.4071298647,417838.3236124952,840784.5049936005,55363.385236356924,78772.49658650873,34229.77695978018,22957.237404,13145.34343638,136816.1259973,31149.85011222001,19735.12500860248,13854.762367989999,157499.14852895503,13396.600254825435,8820886.952123083,0.159397427406153,1406026.6876089214
2025-11-18,7237808.120469509,110737.57782607496,1265508.5044717859,11747.58242709848,260366.4916658862,1632413.5055930202,1000704.0448608234,1246131.03800783,5013742.295843198,98694.44260761993,95626.35352708738,133623.19913217786,46792.42026299998,8691.55497863,2936219.5379000027,61818.66663632002,39060.33811935491,11159.730151509975,34097.358320748,21431.556708754026,21266374.31951043,0.1522569824456343,3237953.9814479873
2025-11-19,4598418.189777833,121115.8566776905,784234.6584214626,20415.81618793727,209547.2575950171,3230524.29688987,1750515.7470497924,1019998.9967245748,1282324.3568351993,127293.27425191531,9893315.413771091,25062.67678886835,41984.5810824,371985.6441150007,258544.8137664,245825.35389918002,19773.19406187988,170371.2218520598,151619.652718584,23278.13480976961,24346149.137276527,0.1568045662851006,3817587.356183022
2025-11-20,7963575.07329374,630908.9196296324,5242347.819145733,63410.78091514836,372198.1334189555,2989183.9502283735,3132955.8016749653,1200705.1962136002,2750580.205024806,289270.38534508523,220624.82113754243,61126.36591602547,100883.40176849997,92146.10879629999,1610559.2010858003,44171.70602399999,35366.02610189759,53558.641582050004,57071.13312301199,66700.25005245977,26977343.92047763,0.1516600786147701,4091386.0997973275
