dt,ora,monko,niko,ballsack,tiny,mooj,gobtc,vote,xalgo,opul,talgo,coop,bro,galgo,ipt,gold,avoi,goeth,meep,cat
2025-01-13,53616.045289200745,55217719075.987595,133228312.92139003,305523898491.0382,7012946.422390998,2180782.43566284,13.248680360000009,1498170.0237380005,8522686.958601,3739490.9529634295,8971355.618760996,2240675.925868001,88898098.03567299,98380891.8484159,3671562.2595779006,2378.2893830000016,6383235.144483003,152.63935080000005,165728542287.79898,165728542287.79898
2025-01-14,85780.23652808045,36068324023.23131,53940894.801761,202071426531.66605,6486355.132220999,443053.24085032,2.3425323400000004,1542603.6710929992,13958581.260429002,1847452.0440517631,27508805.187681995,2366733.0159520004,43371626.038368,196447422.79592702,1213045.9003599999,976.9477130000001,5162760.9742,24.654169199999995,79050586263.05138,79050586263.05138
2025-01-15,98335.4860908298,54346707705.7982,31165171.588368997,205702210460.03687,3892875.983185,1198294.5608321,2.65882731,1004364.4401000001,3849718.108086,2297273.0051843035,2140731.4482279997,1410632.8759450004,109600459.93052295,7837716.316253002,1186952.5970193,1612.870311,5412786.459474997,28.95381141999999,74491338193.70361,74491338193.70361
2025-01-16,30448.288610260042,62181572526.75535,82683836.63139603,273303153883.60056,2562614.703328,3562739.7978387284,6.625997679999986,677313.424733,3571736.0200929986,4559996.737165458,3346428.1283089994,1146372.0708179995,101294337.44956699,2622131.1821179995,886369.5148925001,954.9733669999997,6494380.651497,37.86903943999996,111138817027.97986,111138817027.97986
2025-01-17,92077.31911891019,61279017875.74296,42914471.24939199,132724310046.88316,18526811.251670014,1131653.7286837504,4.6469801699999955,560135.7802740001,1062403.6420379996,3092553.495434512,4178711.831073001,853901.9698989999,201108248.61195907,6505582.158135999,992064.4022752005,550.1483130000003,9124348.099268999,91.27009760000007,66325642117.6437,66325642117.6437
2025-01-18,30780.70699697007,77157832313.02283,26548793.71374601,227892864366.56342,2118930.1519329995,1125918.4408210202,1.6247101300000004,774975.1780840001,1084236.623435001,3330470.312165044,3221446.1782220006,875064.2929509992,196370205.30963096,1362663.973064,1399460.0478371002,478.49685300000004,2688769.4410119997,29.082998120000006,79292257896.3406,79292257896.3406
2025-01-19,85174.17576537005,151985294244.5988,20266193.753623,311940988987.93286,2935731.318009998,1287534.74698076,3.6752860199999993,1339918.188941,2246735.419717997,2656680.620205544,2368181.8575809994,1498199.2660410006,190683618.73532397,4808424.436805,1444946.7322332,974.1175600000006,4417117.403867,29.953772659999974,151371956579.70712,151371956579.70712
2025-01-20,105961.59743120061,85692359887.95657,44838390.503963,241283455303.98297,5019992.764793997,1228813.9467646603,3.866416549999996,1271429.447728999,717671.7322900001,3154418.8819122026,3258945.642120001,2827712.124107,177093315.23199707,1916100.744673,1428397.9848932002,1288.3818759999995,6068855.039932999,54.38425931000002,67541817200.708954,67541817200.708954
2025-01-21,39228.828178889744,48287054819.88623,29782480.624631,84319381540.1107,1777254.6751070002,3019399.53032457,3.5913905000000015,649082.4986529999,673069.2107849999,2446253.082065581,2854809.1723579997,540352.7334179999,183418734.32925105,1083719.8830689997,799771.6725519005,664.9189020000001,21207639.075305995,15.346127639999999,27821886835.436367,27821886835.436367
2025-01-22,55792.970520370334,66736191494.055565,21257591.173037,122632493482.6049,1155519.0996080001,716509.96350571,3.0217196899999985,417897.0371480002,22553991.72162594,543736.496657518,2760490.6293200003,345803.2882199999,72962649.5816,2963532.4962269994,1170810.0127845001,1961.317454999999,22525728.971492987,14.763124819999998,59604342110.81385,59604342110.81385
2025-01-23,160665.61328027118,55720564743.04455,21128028.16870301,114592950559.46562,3303993.1031410005,2750855.14717787,1.7347828899999993,1025258.7206849998,45304127.32290496,3447810.3446194604,7941616.705893003,838709.9838219996,158083076.42563495,6397962.035583,868126.3238748008,1229.165351,14211430.435197,45.197100420000055,88768926898.18005,88768926898.18005
2025-01-24,92088.34296206036,89559482215.08441,23310283.010106,67343251601.05317,3399620.7109060003,681567.29276399,3.9353938199999967,861320.3479460002,40223698.06296803,2399315.434888339,5849604.90105,1140951.2989500002,106560559.21240199,1646412.9541569995,715935.3565561003,6534.325929999998,3891443.2628260003,27.56458246999999,62077470030.509514,62077470030.509514
2025-01-25,21682.73517577006,38994124285.8261,4991904.137555,253722691626.821,2683711.9902210007,509257.15860024997,0.93603614,217281.63607800004,18998734.46483994,1093915.91158277,5077798.568207,321228.549385,85651475.68453705,3649996.544661001,1322337.1657367996,129.967238,8797288.935491005,41.07825478,75800497854.00676,75800497854.00676
2025-01-26,28153.201754209807,24328880426.12962,6766314.865978001,114558788335.49657,1559497.6933879994,1030184.54649524,6.252254909999998,355662.86745300004,9111464.483109945,1450119.975532156,2861404.2326300004,369420.0174300002,54204080.621519014,490416.37866299995,476397.03067640006,1045.2442230000004,5067740.812814999,122.03455385999993,47246679540.986725,47246679540.986725
2025-01-27,31951.82544596032,100636736800.22984,43344691.36955501,479048005650.9856,2101605.4248520005,1445195.53109893,3.468390099999998,1141154.4971370003,15182490.642718004,3217633.450188399,5766967.202144998,3714023.185327001,144343636.35864204,6562198.095964998,1732193.5454362992,1791.5543719999998,4522080.4880490005,8.66241461,115280974663.08879,115280974663.08879
2025-01-28,26430.04009450992,59031357147.63411,190317154.38024703,234618051274.5351,4299050.957081002,821833.8275376302,0.9614019900000002,309794.4171019999,12213572.663042003,1237505.286897104,1799700.1978710003,918158.9803619998,47017169.75159499,720069.787811,613835.555024,537.1128339999997,4094336.4218830005,3.1827442199999996,63010493318.463104,63010493318.463104
2025-01-29,35574.68692115981,43580288695.16386,15767979.424859,199766201815.12857,4625825.806385008,745392.4230931501,1.35616599,508116.04487599997,13002209.16185478,4008445.2443934176,1826318.9031150006,522534.6140500001,82937811.75431801,693004.423939,481765.50974099996,648.472216,5689562.533919998,129.36840678000002,34922604772.38881,34922604772.38881
2025-01-30,14020.342440890094,67861971254.47372,7275302.578465,100257792683.4658,2401694.018256,647363.8574137001,1.73923382,502665.52652599977,12936177.596281027,6845757.839455873,2966477.4581759996,767026.1570640001,51314118.734840006,1016921.1322629998,389465.3671614001,3402.4839600000005,7614809.915122997,7.6918818600000005,50165473769.25311,50165473769.25311
2025-01-31,53190.90060095009,16489854229.396984,48460772.357946,136082728499.061,2827213.8818409997,497952.22110117,1.2552861500000003,562411.381048,5801812.152577003,3294782.097951704,1449290.408353,974334.036055,51879830.10308398,640399.4191119999,603042.3074423001,881.876858,14281060.517420005,29.504929220000008,104071353402.12746,104071353402.12746
