dt,hog,ora,vote,hay,talgo,finite,xalgo,tiny,alpha,puff,vest,gonna,gobtc,busk,unit,pow,niko,sparky,coop,opul
2025-09-11,8820.251086000015,112530.9251752803,242585.34836100004,6359899.100192005,445070.9290199999,767772.8533142394,2172326.1196169993,3190419.077695001,3396933.770614,9612474.207907999,2779105.321753997,207037564981.20715,0.29504179999999963,454666556.7563999,867.8712262000001,921313.4397059999,41050585.70804,16107337033.571,153209.098531,210967.5926158021
2025-09-12,7902.830245999997,206884.9176737406,416052.142497,3392019.629969994,2910018.484682001,1272461.8913626394,7655517.9094710015,2174806.496953999,5467291.013832,15608984.139806999,1057640.995154001,90990648433.18806,0.32702483000000004,275848688.034802,3308.9517012400006,1685481.831861,64035438.158156015,105223401369.81194,188161.16168799993,2584199.9805942364
2025-09-13,67241.04658200004,534616.756950649,478275.1997760002,1419670.119744,827696.0917689995,1934895.91996382,3395826.5067570005,3570634.1244300017,2567645.970124,12424155.872185,2278197.387329001,180230996765.83542,1.2677442899999984,1354078888.0551364,17949.569543549995,9721626.556222001,46769212.87035701,703802671649.8739,258598.1685479999,1762486.8399493229
2025-09-14,16754.985157999952,312671.94325846015,641467.778177,4684869.031316997,562619.3313760001,5025851.69246064,5101138.989634999,2126227.250142,2693497.302458,2425735.2498029997,2415064.3019119976,145317990628.58365,0.6730688299999998,317989082.954084,11478.651176609997,11433480.314726999,21640637.913953003,139323874572.15005,511509.0830409998,3362800.8267016904
2025-09-15,20921.305363000003,135757.3452680997,756480.4165269997,11427145.218776999,1193577.989133,2042475.82260242,4174960.6936919997,1885318.8632209995,2977660.8388930005,3018731.823882,2468760.9772710004,39657215002.198814,0.6255362200000001,642121592.299404,814.64183391,7806997.627604999,18657606.129777,137724577206.44696,677277.332772,1158991.9534144045
2025-09-16,32930.181447000024,159425.70656228063,834523.3709059999,2827094.217121,2718174.791496,2667493.69808622,10739845.864589004,3415905.8090709997,1495816.6989970002,41216599.066941,2267289.768746999,112597386295.32599,0.4555981599999999,730867620.8511419,12551.432929010003,2652691.0203059986,261821831.6854529,185926625182.57196,346222.39629100007,779003.8006028737
2025-09-17,51344.70733200003,469712.4481949217,750800.5813529999,7258886.528707995,2269572.2231779997,1328147.69782353,3807443.9703849885,3372303.7441310007,3125883.624203,11672396.537263,3702442.0097099994,102713839794.21251,0.7170358400000001,3489374349.789338,7011.972638510003,1935206.8147730003,109707188.13998002,188365989139.926,339357.886963,1117751.4483611996
2025-09-18,17040.388063999977,56659.219408200035,455029.5830119999,1118742.295194,1815582.6865300003,298993.0837722899,1947589.5641750002,5623199.512080999,2884422.8577920008,4711254.0679709995,783207.8741480003,372587318648.54456,0.64326356,152174188129.4524,3919.9686666499983,1960182.6146340002,218337431.61040598,292904905506.702,688314.297037,1777324.7634701014
2025-09-19,74895.55721499996,111613.72143159948,584287.7371030002,1237582.716363,975754.0913949998,11144880.049177807,6581881.921638016,3890439.2309990004,7726991.425236999,4618339.151647,1555380.5928159996,130145611198.32483,0.8179062199999999,303474109383.7616,72826.15612811997,5049777.836285,75962039.62616207,47585122429.51701,315925.1040099999,652728.413136117
2025-09-20,44233.7151129999,108661.2822279412,270021.19285199995,2273764.090573,581005.0188680002,2009224.968726309,3530640.7835340197,1651566.876441,1708924.6139670003,18246043.470817,1946727.4425079993,189634660706.072,0.5516425500000001,230769359018.93124,4972.209769390001,1192323.582965999,230836434.408935,121181050353.86902,83565.458556,1438514.5610519457
2025-09-21,64960.12474800003,388312.83225526445,568900.6616089998,2249737.961064,2330671.113839999,1438447.0396347104,2157134.847074004,3044693.7473349995,2262720.6485450002,3301082.025916999,4296485.553146,255896710381.52942,0.14021781999999997,7442156565.8244705,6307.019754039998,11751381.167195003,261840351.723698,92741173840.56403,180453.02539,420665.0147081004
2025-09-22,40128.66978200003,892521.4076357614,2083729.0426390017,4953026.687093,3996677.6118960003,1894585.3190280783,8797419.12021601,8402835.208404003,6300893.773417001,3507192.1898209997,1072830.9201289997,85540865454.39517,1.151506,202905236373.78046,8256.68760612,33733457.349299006,73593830.82661302,76333275066.513,893795.7508769998,2297666.337265344
2025-09-23,42779.06972900004,1899434.4473787167,483683.0834360001,2202811.8294370007,3459624.771357001,656448.7124424899,2531617.312558004,3989145.183595,1806304.4918509996,13325680.361952012,1474961.1305089996,39928429772.951294,0.27411861000000004,2299413863.0393915,14288.67522868999,5484598.224786,108086745.22793601,104628196829.15298,1803359.2294869984,835132.2709301057
2025-09-24,9081.979181000002,110127.26214864015,1256317.1740229996,1744573.5233920005,2626355.643414998,580953.63351228,3990964.581753005,2082780.8708839999,3860105.6915589995,8049375.588180999,488141.1876729999,9016577653.336382,0.2611036700000001,1203562050.498187,836.98964844,622395.7929469999,34221695.302774,119890880098.91006,228731.2006100001,571629.6059544823
2025-09-25,7377.208533999998,110215.99369788074,888713.878699,4492492.181789999,1566021.0615380008,639354.3473432098,2704412.895073004,14830945.434378998,4964667.151288999,11382375.730691,866428.5606799999,14354945245.569662,0.67553798,696390491.6662368,532.7984702799998,1480477.9755240001,18162330.033650998,69517955097.66098,373507.4286699999,971178.2989742782
2025-09-26,7994.998788000003,185161.8958777601,497723.12886099995,1533323.570833,1358635.8013300004,523221.1976051401,5566217.787950016,2095284.5099789996,11303719.594014999,920285.0581410001,625018.7772830002,66379052731.74536,0.9145087599999998,1208230619.2651174,222.25011009000005,8210174.710869994,53822973.336270995,45055754099.012,365997.7598499998,1681258.2896645765
2025-09-27,4820.135543000002,94332.49661477986,333710.46807199984,2615856.972554,1737745.658074,523317.8810989101,3462741.746636007,1035866.3346119998,1974524.5076029997,8559701.810738001,874212.7464470002,66804890445.340294,0.14472057000000005,996313336.6900171,9383.615486659997,23586335.943161022,161970774.9334489,38578243164.62901,377616.6869000001,477766.45284813526
2025-09-28,6383.0946410000015,92542.62488756991,427921.0692889999,934958.9844679997,730371.2865,539461.2796603099,3876335.3238209924,5053273.608768001,1691516.278644,1707963.61668,185145.80843200002,161934830197.9758,1.2584633000000003,542419683.157674,3123.0306310299998,8658390.789350001,358164599.94182396,44296979045.85702,248591.88539799998,477138.337369858
2025-09-29,8708.650995000002,66494.63831576028,440350.813586,1130668.8444440002,669857.691468,295149.40122049,2064643.1876290007,5569426.630383001,3996048.8636299996,5717654.876589999,210628.10576000003,130314143347.14279,0.4687692700000002,1580360022.3966591,671.5046815199998,4111036.166955999,289843478.0485021,52499138111.67999,299882.10816299997,740823.0219677549
2025-09-30,61123.19184299994,1409973.135330336,491719.9977279999,2075532.7010610008,1371445.6266280003,562993.0584805,6154651.937843993,8597894.45308999,2369895.194305999,10349283.766323999,37004645.61328298,63407965770.37175,0.48415083000000025,1202309867.9162006,2167.3043395200007,3076707.611799,188081168.99590504,64562177262.407,862767.4304939997,1968813.337719963
