dt,gobtc,ora,vote,folks,hog,alpha,talgo,silver,tiny,hay,wbtc,xalgo,gold,nova,goeth,coop,costs,opul,pow,golddao
2026-02-12,0.2909920799999994,13733.847074719595,609791.9599839996,43838.704363,3911.7337339999995,2180042.0057260003,1428832.2691089995,32812.14833999999,7201260.800714999,110871.64485800001,0.09217625999999998,814305.4626269995,454.3972009999998,426246949773.849,1.8728184699999975,232008.59839399997,,1829737.103110532,2097119.06817,747.4847340000001
2026-02-13,0.35966106,9845.968142179772,825892.0556500003,42290.30584199999,3918.8414990000024,4282532.978112007,1722713.5467610003,5443.942051999998,3952844.4423459996,387877.7990929999,1.088141579999999,2191575.079256999,29.180004000000004,36698950476.92033,0.7566405400000001,204254.378102,,897792.5640208924,238988.282245,718.2881560000001
2026-02-14,0.5367880899999999,16928.114219960447,742657.0994360001,45438.40248500004,4296.098849000002,1186651.1631220006,952849.1384940005,17314.78331199999,2432088.6975020003,66370.265797,0.15758827000000003,1756873.1972539998,157.13489600000003,33572897286.603714,0.9316974300000005,279677.66645200027,,4015436.2919186456,909964.3640459997,1053.3264699999997
2026-02-15,0.19273628,17285.47359686956,484311.8351760001,31121.12143100003,1950.9377330000007,1212166.556841,549535.3474630001,9315.796925,2597521.1228880007,85553.40065599998,0.06306376,2715296.8676230013,18.503375999999996,12140865454.393478,1.0600265800000004,145855.50119199994,1302597092.706872,1198489.6198238414,340635.54826900014,651.7893600000001
2026-02-16,0.3881060899999998,13295.57952740054,484190.80842700077,28013.60285599999,5101.183597999989,1550045.9592619997,791517.7141069996,2451.119243999998,2988644.0822100006,2777118.268655999,0.058638040000000044,1734759.242415001,12.85573,12244537155.4533,0.9945612100000009,139800.70500000005,109918236.73258297,1012088.4559692654,3409471.7385709975,517.5173080000002
2026-02-17,0.10771711999999994,70365.97512336072,732169.8544379999,25406.470257,22309.815131999985,2522566.7522519976,2284268.600126001,3564.084979000001,2487077.1692919983,1036912.3904979988,0.07815527999999998,911251.9849269997,53.929897000000004,96051630120.52261,1.8079006700000009,143639.10831799998,47499976.485194005,1576132.7803590314,1017283.9686169996,1302.215751999999
2026-02-18,0.22242393000000016,263839.6169417285,687622.1287390005,35609.99794900006,7373.825958999982,971804.5314000007,575051.7730579997,6367.303432000002,20699997.95490294,2775052.884819999,0.1558913099999999,1685842.7605950013,29.953320000000026,20986916836.536545,0.6806569400000004,103621.02467799999,24144729.445798997,2758457.0409478266,9638351.655456977,613.9482850000006
2026-02-19,0.20801789000000007,49482.41358646064,617983.0262090001,43324.027783999976,4101.932329000003,1557799.4292759998,1735622.167192,1298.865008,4139515.7153830025,384254.44011799997,0.08854849999999996,3023674.760320999,17.795827,70647119240.45148,0.8045800900000002,146543.70729400002,4928133.728291004,3099618.323190048,6443405.866692998,837.642122
2026-02-20,0.11955533000000013,6741.020602630038,550944.8989020004,38758.48731199998,2484.014475999999,1407974.5031539996,448814.2634200001,2578.910604,14882444.983586004,63622.177616999994,0.050877170000000006,1887558.072891,20.13601700000001,49282945993.929924,0.4832391099999999,107558.62894600004,33517.58467300102,1299474.0994061325,889583.146623,908.2831530000001
2026-02-21,0.51920973,5548.003734450091,410069.804116,13626.803720999993,1884.3481139999994,854250.065287,644371.0163050002,4311.039839000001,12173241.909145,389166.76478299993,0.24535695999999996,2221384.9951610016,31.515289999999997,46475431161.037575,0.40445179000000003,86774.90020900009,7844.932693,2616836.206464099,434483.08180300007,380.627622
2026-02-22,0.29824164999999964,17911.264732551208,762761.3034539995,17806.865448999997,2292.7141489999985,1496429.4842980006,353132.8645059998,5731.086992999985,5852818.432035999,620602.3064359997,0.4577439200000003,2833333.2985740015,19.987542000000005,39394518511.91826,0.35990825000000015,126339.12698800003,60475684.68713027,123592.74776678324,992314.6534060002,752.3140800000007
2026-02-23,0.5115928699999996,40061.69131295087,1688189.392967999,35398.06347799999,5281.960984000005,6452878.023405993,838617.7581859991,35514.37156499994,14301460.843617015,2000244.515247,0.4095797300000002,3033255.095643998,693.1153589999997,47964482440.53929,1.08844354,566388.0281500001,27292339.675230343,668651.5209474529,674853.5635429998,45152.15487600002
2026-02-24,1.1527782699999916,24124.289392630104,726804.1710840012,29245.445406999992,2233.577938000003,1329457.4509260007,343704.2598539998,9672.055638999997,6155496.467000996,2169268.645794999,1.557730419999999,1501987.2132980013,8.021386,42241081242.874596,0.4939779199999999,140802.84318199998,,2017459.120864228,857697.2692519999,543.1836479999996
2026-02-25,1.1079862699999987,129115.06259712324,1209025.8758629998,19547.043960000003,3737.0295419999957,1297748.108916,1140509.787107,4224.809760999999,3247048.603152001,1285029.995087001,1.776593259999999,2047555.9084189995,36.404243,150927498278.35455,1.8452940000000007,186121.290606,65020.232576,3630821.552535987,1735616.0509030004,1349.5418069999996
2026-02-26,1.26039304,18679.485558489985,466446.57631699985,44432.59091600003,2302.553673,4554888.983793999,531556.0539869999,18210.660761000014,4748736.230370999,267564.0381069998,0.15603129999999998,966098.7526310005,376.4659079999999,41776192875.809006,9.58295744999999,79410.73615799996,31633.386732,2397473.395171945,2565015.2015909995,465.1981129999999
2026-02-27,0.10832150000000004,30499.81943759116,649424.5015000014,110248.8142680003,5590.134133999985,1519029.7483969992,546722.5996599986,2125.7391270000003,2847254.944132999,164718.88932099997,0.04795615000000002,1221858.2053629986,16.986620000000002,50489222639.64181,1.7034414399999998,192799.4032609976,,2945281.5991629288,644840.8252039998,633.3042980000004
2026-02-28,2.0444839599999955,15848.592653100515,1092963.4642419985,62216.45771400003,4504.664506,1703973.197500997,835289.9152429993,7310.477172999997,2929289.7090030005,670756.7489910002,0.2210150000000003,3421533.6424799995,46.384317000000024,31063960903.47447,1.23912855,289177.07623100013,,3150739.0212731413,1793859.9097429998,1274.767145
